ticker
BBCA.JK
BBRI.JK
BMRI.JK
ANTM.JK
BRPT.JK
TLKM.JK
BBNI.JK
BRMS.JK
PTRO.JK
ASII.JK
DSSA.JK
CUAN.JK
MDKA.JK
ADRO.JK
WIFI.JK
PGEO.JK
PANI.JK
MBMA.JK
UNTR.JK
BRIS.JK
AADI.JK
AMRT.JK
RAJA.JK
PGAS.JK
RATU.JK
INDF.JK
DEWA.JK
KLBF.JK
TCPI.JK
PSAB.JK
INCO.JK
TOBA.JK
MEDC.JK
JPFA.JK
UNVR.JK
INKP.JK
PTBA.JK
CBDK.JK
ITMG.JK
ISAT.JK
BBTN.JK
PNLF.JK
COIN.JK
ADMR.JK
SMGR.JK
ERAA.JK
SMIL.JK
DKFT.JK
CMNT.JK
AKRA.JK
ACES.JK
SCMA.JK
MAPI.JK
MIKA.JK
INET.JK
TINS.JK
SSIA.JK
EXCL.JK
MSIN.JK
MAPA.JK
CTRA.JK
MERI.JK
ITMA.JK
ENRG.JK
HRTA.JK
CYBR.JK
SMRA.JK
INDY.JK
HEAL.JK
EMTK.JK
DSNG.JK
TAPG.JK
FILM.JK
MARK.JK
JSMR.JK
INTP.JK
ESSA.JK
UNIQ.JK
BTPS.JK
SIDO.JK
PTPP.JK
PWON.JK
FORE.JK
ARTO.JK
LSIP.JK
HRUM.JK
SSMS.JK
PSAT.JK
ELSA.JK
BLOG.JK
STAA.JK
DATA.JK
KPIG.JK
BSDE.JK
ARCI.JK
BNGA.JK
PACK.JK
NICL.JK
BBYB.JK
HATM.JK
CLEO.JK
