Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^Jkse,^Jkse,^Jkse,^Jkse,^Jkse,^Jkse
Date,,,,,,
2025-04-28,6722.965820,6722.965820,6738.352051,6688.779785,6716.214844,164549400
2025-04-29,6749.075195,6749.075195,6763.887207,6724.317871,6748.987793,193012300
2025-04-30,6766.794922,6766.794922,6791.252930,6725.966797,6755.463867,210149800
2025-05-02,6815.729980,6815.729980,6818.279785,6765.831055,6811.109863,183083600
2025-05-05,6831.952148,6831.952148,6879.108887,6824.396973,6844.371094,194998400
2025-05-06,6898.196777,6898.196777,6913.687988,6858.150879,6860.445801,162346800
2025-05-07,6926.225098,6926.225098,6970.500000,6909.960938,6925.251953,187668100
2025-05-08,6827.750000,6827.750000,6965.934082,6824.649902,6945.983887,260892400
2025-05-09,6832.803223,6832.803223,6882.317871,6811.772949,6849.449219,164380000
2025-05-14,6979.879883,6979.879883,6987.780762,6914.753906,6915.957031,272470100
2025-05-15,7040.161133,7040.161133,7076.736816,7002.371094,7003.146973,343582300
2025-05-16,7106.525879,7106.525879,7106.525879,7009.846191,7092.234863,239677400
2025-05-19,7141.090820,7141.090820,7160.659180,7085.973145,7113.442871,227261200
2025-05-20,7094.602051,7094.602051,7202.816895,7088.623047,7164.146973,219667500
2025-05-21,7142.460938,7142.460938,7170.724121,7109.221191,7114.699219,228188900
2025-05-22,7166.980957,7166.980957,7190.668945,7136.784180,7165.100098,201247200
2025-05-23,7214.163086,7214.163086,7223.252930,7177.245117,7206.357910,152151100
2025-05-26,7188.353027,7188.353027,7240.083984,7129.388184,7231.477051,331040000
2025-05-27,7198.966797,7198.966797,7212.568848,7162.960938,7204.171875,245398700
2025-05-28,7175.818848,7175.818848,7237.340820,7166.678223,7223.513184,277488600
2025-06-02,7065.068848,7065.068848,7152.912109,7035.837891,7134.486816,240143000
2025-06-03,7044.821777,7044.821777,7090.351074,6994.155762,7071.638184,199730400
2025-06-04,7069.037109,7069.037109,7094.446777,7052.914062,7083.238770,232777400
