ticker,marketCap,sector,industry,sharesOut,last_close,nonzero_days_60d,pct_nonzero_60d,max_consec_zero_60d,med_value_90d,med_volume_90d,turnover_med,status,why
BBCA.JK,1022950144737280.0,Financial Services,Banks - Regional,123247001600.0,8300.0,60,1.0,0,805783167500.0,92770800.0,0.0007527225717108237,ACTIVE,pass
BBRI.JK,560768277807104.0,Financial Services,Banks - Regional,151558995968.0,3700.0,60,1.0,0,782751845000.0,196737900.0,0.0012980945059938179,ACTIVE,pass
BMRI.JK,435866501644288.0,Financial Services,Banks - Regional,93333299200.0,4670.0,60,1.0,0,740686178000.0,154202250.0,0.0016521675685069964,ACTIVE,pass
ANTM.JK,74255169486848.0,Basic Materials,Gold,24030799872.0,3090.0,60,1.0,0,514042699500.0,189333000.0,0.007878763961602685,ACTIVE,pass
BRPT.JK,230512824156160.0,Basic Materials,Chemicals,93704396800.0,2460.0,60,1.0,0,269739016000.0,168220150.0,0.0017952215236926854,ACTIVE,pass
TLKM.JK,291242873192448.0,Communication Services,Telecom Services,99062202368.0,2940.0,60,1.0,0,259120515000.0,98005150.0,0.0009893294077586402,ACTIVE,pass
BBNI.JK,151635162562560.0,Financial Services,Banks - Regional,578684032.0,4070.0,60,1.0,0,231694700000.0,56493650.0,0.0976243457154871,ACTIVE,pass
BRMS.JK,63802804535296.0,Basic Materials,Other Industrial Metals & Mining,25570199552.0,450.0,60,1.0,0,216173679000.0,572995800.0,0.02240873399657073,ACTIVE,pass
PTRO.JK,37822497030144.0,Basic Materials,Other Industrial Metals & Mining,10085999616.0,3750.0,60,1.0,0,206095847500.0,65679450.0,0.006511942544178658,ACTIVE,pass
ASII.JK,199179309678592.0,Industrials,Conglomerates,40483598336.0,4920.0,60,1.0,0,183947853000.0,38560150.0,0.0009524882071984798,ACTIVE,pass
DSSA.JK,486477423181824.0,Energy,Thermal Coal,6189280256.0,78600.0,60,1.0,0,172410907500.0,3385600.0,0.000547010291983133,ACTIVE,pass
CUAN.JK,175935735201792.0,Energy,Thermal Coal,112418996224.0,1565.0,60,1.0,0,168783995000.0,154671500.0,0.001375848434830444,ACTIVE,pass
MDKA.JK,60297146531840.0,Basic Materials,Other Industrial Metals & Mining,24411799552.0,2470.0,60,1.0,0,152794918000.0,77939250.0,0.0031926876113323906,ACTIVE,pass
ADRO.JK,53399097704448.0,Energy,Thermal Coal,29831899136.0,1790.0,60,1.0,0,123836847000.0,66503750.0,0.0022292831474395075,ACTIVE,pass
WIFI.JK,13589888892928.0,Technology,Information Technology Services,5308550144.0,2560.0,60,1.0,0,122069055750.0,60495950.0,0.011395945853196032,ACTIVE,pass
PGEO.JK,67450498449408.0,Utilities,Utilities - Renewable,41507999744.0,1625.0,60,1.0,0,104552803250.0,75453200.0,0.0018177989897214162,ACTIVE,pass
PANI.JK,266760888516608.0,Real Estate,Real Estate - Development,16883600384.0,15800.0,60,1.0,0,104354072500.0,9950950.0,0.0005893855441775422,ACTIVE,pass
MBMA.JK,46437849104384.0,Basic Materials,Other Precious Metals & Mining,107994996736.0,430.0,60,1.0,0,93793325800.0,219270700.0,0.0020303783196180827,ACTIVE,pass
UNTR.JK,87708215017472.0,Basic Materials,Other Industrial Metals & Mining,3631810048.0,24150.0,60,1.0,0,83839860000.0,3842000.0,0.001057874709641202,ACTIVE,pass
BRIS.JK,124549110693888.0,Financial Services,Banks - Regional,46129299456.0,2700.0,60,1.0,0,80623150000.0,29821950.0,0.0006464860804670443,ACTIVE,pass
AADI.JK,57038969241600.0,Energy,Thermal Coal,7786890240.0,7325.0,60,1.0,0,79166632500.0,11953950.0,0.001535137857548638,ACTIVE,pass
AMRT.JK,97582571323392.0,Consumer Defensive,Grocery Stores,41524498432.0,2350.0,60,1.0,0,73015681000.0,29108150.0,0.0007009873953725689,ACTIVE,pass
RAJA.JK,11201762295808.0,Utilities,Utilities - Regulated Gas,4227079936.0,2650.0,60,1.0,0,70487438000.0,32716050.0,0.007739633623053396,ACTIVE,pass
PGAS.JK,40846925758464.0,Utilities,Utilities - Regulated Gas,24241500160.0,1685.0,60,1.0,0,66136730000.0,41370000.0,0.0017065775520057583,ACTIVE,pass
RATU.JK,19751988363264.0,Energy,Oil & Gas E&P,2715049984.0,7275.0,60,1.0,0,65992526250.0,9925400.0,0.003655696970034125,ACTIVE,pass
INDF.JK,71560505327616.0,Consumer Defensive,Packaged Foods,8780430336.0,8150.0,60,1.0,0,59725092500.0,7531450.0,0.0008577540862799005,ACTIVE,pass
DEWA.JK,9032602484736.0,Energy,Thermal Coal,40687398912.0,222.0,60,1.0,0,58727962500.0,366053050.0,0.008996717897639787,ACTIVE,pass
KLBF.JK,62415647539200.0,Healthcare,Drug Manufacturers - General,45393199104.0,1375.0,60,1.0,0,53645198750.0,37523050.0,0.0008266227263258366,ACTIVE,pass
TCPI.JK,30375000670208.0,Industrials,Marine Shipping,5000000000.0,6075.0,60,1.0,0,53534040000.0,9341750.0,0.00186835,ACTIVE,pass
PSAB.JK,11113200615424.0,Basic Materials,Gold,26460000256.0,420.0,60,1.0,0,51100210500.0,141129000.0,0.005333673417784565,ACTIVE,pass
INCO.JK,42264596316160.0,Basic Materials,Other Industrial Metals & Mining,10539799552.0,4010.0,60,1.0,0,50417865000.0,16325000.0,0.001548890936630974,ACTIVE,pass
TOBA.JK,8628983037952.0,Energy,Thermal Coal,8257399808.0,1045.0,59,0.983,1,50231414150.0,78696850.0,0.009530463805780156,ACTIVE,pass
MEDC.JK,29743015526400.0,Energy,Oil & Gas E&P,24682999808.0,1205.0,60,1.0,0,47058271250.0,39616550.0,0.0016050135845789657,ACTIVE,pass
JPFA.JK,18488043241472.0,Consumer Defensive,Farm Products,8716080128.0,1590.0,60,1.0,0,43523270000.0,26508300.0,0.0030413098102257375,ACTIVE,pass
UNVR.JK,66762502569984.0,Consumer Defensive,Household & Personal Products,38150000640.0,1750.0,60,1.0,0,43092306250.0,28933500.0,0.0007584141419296186,ACTIVE,pass
INKP.JK,43767839064064.0,Basic Materials,Paper & Paper Products,5470980096.0,8000.0,60,1.0,0,40708122500.0,6947100.0,0.0012698090430047874,ACTIVE,pass
PTBA.JK,27634559877120.0,Energy,Thermal Coal,11514399744.0,2400.0,60,1.0,0,37346193000.0,14204200.0,0.0012336031678422158,ACTIVE,pass
CBDK.JK,33021575036928.0,Real Estate,Real Estate Services,5668939776.0,5825.0,60,1.0,0,36140670000.0,6297500.0,0.0011108779152428237,ACTIVE,pass
ITMG.JK,26383631777792.0,Energy,Thermal Coal,1129920000.0,23350.0,60,1.0,0,35912945000.0,1600900.0,0.0014168259699801756,ACTIVE,pass
ISAT.JK,73209319784448.0,Communication Services,Telecom Services,32250800128.0,2270.0,60,1.0,0,34881335500.0,18691600.0,0.0005795701168905895,ACTIVE,pass
BBTN.JK,15648355778560.0,Financial Services,Banks - Regional,14034400256.0,1115.0,60,1.0,0,31648357250.0,28099150.0,0.002002162506943396,ACTIVE,pass
PNLF.JK,8005524914176.0,Financial Services,Banks - Regional,32022099968.0,250.0,60,1.0,0,31531420300.0,104726850.0,0.0032704554075046475,ACTIVE,pass
COIN.JK,23529439363072.0,,,14705899520.0,1600.0,20,0.87,2,29964027000.0,37690600.0,0.002562957808105573,ACTIVE,pass
ADMR.JK,45788176580608.0,Basic Materials,Coking Coal,40882298880.0,1120.0,60,1.0,0,29821335000.0,31563700.0,0.0007720627475633777,ACTIVE,pass
SMGR.JK,16743819902976.0,Basic Materials,Building Materials,6751540224.0,2480.0,60,1.0,0,29188381500.0,11320750.0,0.0016767655415511895,ACTIVE,pass
ERAA.JK,6944739819520.0,Consumer Cyclical,Specialty Retail,15783499776.0,440.0,60,1.0,0,28970333500.0,61242850.0,0.003880181890528764,ACTIVE,pass
SMIL.JK,3028078034944.0,Industrials,Rental & Leasing Services,8751670272.0,346.0,60,1.0,0,28839160100.0,105306250.0,0.01203270309862058,ACTIVE,pass
DKFT.JK,4851871252480.0,Basic Materials,Other Industrial Metals & Mining,5513489920.0,880.0,60,1.0,0,27936114400.0,55092050.0,0.00999222829811576,ACTIVE,pass
CMNT.JK,14128537141248.0,Basic Materials,Building Materials,17125499904.0,825.0,60,1.0,0,25955466000.0,30809850.0,0.0017990628111710625,ACTIVE,pass
