Rekomendasi Singkat,Kode Saham,Skor Sistem,Kekuatan Menjelang Tutup,Dorongan Sore,Konsistensi Muncul,Kecepatan Volume,Peluang Bertahan sampai Tutup,Peluang Naik ≥3% Besok Pagi,Peluang Lanjut Naik Lusa,Peluang Total Berantai,Kelompok Likuiditas,Kelompok Volatilitas,Arah Buka,Rata-rata: Bertahan sampai Tutup,Rata-rata: Naik ≥3% Besok Pagi,Rata-rata: Lanjut Naik Lusa
skip,DOID.JK,23.926,0.017,0.765,1,1.46,0.566,0.288,0.645,0.09,8,5,flat,0.655,0.27,0.765
skip,JAWA.JK,18.169,0.026,0.515,1,1.73,0.517,0.238,0.635,0.068,6,4,flat,0.62,0.227,0.786
skip,CCSI.JK,53.667,0.023,0.472,1,6.48,0.362,0.297,0.533,0.055,7,7,up,0.423,0.323,0.691
