ticker , date      , score            , last  , daily_return        , closing_strength, afternoon_power     , vol_pace             , price_at_cutoff
DFAM.JK, 2025-08-21, 7.258755014260293,   72.0, 0.33333333333333326 ,          1.0    , 0.3846153846153846  , 32819.0              ,            72.0
PRIM.JK, 2025-08-21, 7.061851495999927,   90.0, 0.34328358208955234 ,          1.0    , 0.3370776338436452  ,    76.56816610591326 ,            90.0
ACRO.JK, 2025-08-21, 7.037221151630957,   99.0, 0.33783783783783794 ,          1.0    , 0.33783783783783794 ,    88.28129938542581 ,            99.0
GULA.JK, 2025-08-21, 6.05933325126733 ,  324.0, 0.24615384615384617 ,          1.0    , 0.23668452568547105 ,    73.60636417206835 ,           324.0
ACST.JK, 2025-08-21, 5.829096992899767,  163.0, 0.3471074380165289  ,          1.0    , 0.10053738004160251 ,   381.8499371746545  ,           163.0
MDLA.JK, 2025-08-21, 5.642028184708582,  262.0, 0.24761904761904763 ,          1.0    , 0.2359207723892185  ,    37.82257084658543 ,           262.0
SOSS.JK, 2025-08-21, 4.917852934331033,  840.0, 0.24444444444444446 ,          1.0    , 0.005091903123481734,    54.49618320610687 ,           840.0
SMAR.JK, 2025-08-21, 4.732192430743914, 6050.0, 0.24742268041237114 ,          1.0    , 0.1688006033785565  ,    24.679671457905545,          6050.0
PTSN.JK, 2025-08-21, 4.538974575412232,  336.0, 0.23529411764705888 ,          0.96875, 0.21739130434782616 ,    21.54756439683754 ,           336.0
ADCP.JK, 2025-08-21, 4.090671388286388,   51.0, 0.020000000000000018,          1.0    , 0.020000000000000018,   548.5              ,            51.0
