ticker,price_at_cutoff,daily_return,vol_pace,score,last
POLU.JK,6975.0,0.1071428571428572,11.198347107438016,208.8997733923349,6975.0
YULE.JK,2720.0,0.08366533864541825,97.14285714285714,205.05893697355083,2720.0
JECC.JK,1650.0,0.24060150375939848,124.62679425837321,159.71151220292253,1650.0
BUAH.JK,1445.0,0.08239700374531833,28.809824095585796,129.0485054494412,1445.0
SHIP.JK,4640.0,0.03111111111111109,3.954454119223041,109.00762207208756,4640.0
TOBA.JK,1375.0,0.19565217391304346,14.568659050582225,101.79696003600752,1375.0
RELI.JK,785.0,0.15441176470588225,31.05249513933895,97.14839857013114,785.0
TEBE.JK,1285.0,0.13215859030836996,10.338964250225313,87.04504607548681,1285.0
NICL.JK,1105.0,0.027906976744185963,12.467148014440433,86.43642278530808,1105.0
CBUT.JK,1585.0,0.04276315789473695,7.568586387434555,85.52039309095301,1585.0
