Rekomendasi Singkat,Kode Saham,Skor Sistem,Kekuatan Menjelang Tutup,Dorongan Sore,Konsistensi Muncul,Kecepatan Volume,Peluang Bertahan sampai Tutup,Peluang Naik ≥3% Besok Pagi,Peluang Lanjut Naik Lusa,Peluang Total Berantai,Kelompok Likuiditas,Kelompok Volatilitas,Arah Buka,Rata-rata: Bertahan sampai Tutup,Rata-rata: Naik ≥3% Besok Pagi,Rata-rata: Lanjut Naik Lusa
beli keluar lusa,BSDE.JK,95.991,0.0,0.0,3,6.74,0.491,0.258,0.591,0.071,9,8,flat,0.657,0.292,0.813
skip,TEBE.JK,206.566,0.0,0.0,3,30.88,0.478,0.255,0.573,0.069,9,9,up,0.657,0.292,0.813
