Rekomendasi Singkat,Kode Saham,Skor Sistem,Kekuatan Menjelang Tutup,Dorongan Sore,Konsistensi Muncul,Kecepatan Volume,Peluang Bertahan sampai Tutup,Peluang Naik ≥3% Besok Pagi,Peluang Lanjut Naik Lusa,Peluang Total Berantai,Kelompok Likuiditas,Kelompok Volatilitas,Arah Buka,Rata-rata: Bertahan sampai Tutup,Rata-rata: Naik ≥3% Besok Pagi,Rata-rata: Lanjut Naik Lusa
beli keluar lusa,KONI.JK,136.988,0.243,136.988,2,31.08,0.791,0.568,0.886,0.394,3,9,up,0.657,0.292,0.813
beli keluar lusa,CBUT.JK,124.887,0.091,124.887,3,19.14,0.789,0.564,0.885,0.387,6,9,flat,0.657,0.292,0.813
neutral,SURE.JK,139.884,0.083,139.884,3,10.54,0.785,0.557,0.883,0.374,5,9,flat,0.657,0.292,0.813
neutral,DUTI.JK,138.663,0.034,138.663,2,10.18,0.785,0.556,0.883,0.373,5,9,flat,0.657,0.292,0.813
neutral,ADRO.JK,80.014,0.025,80.014,2,5.56,0.779,0.543,0.879,0.352,9,8,flat,0.657,0.292,0.813
skip,CBDK.JK,154.57,0.046,154.57,3,5.49,0.778,0.542,0.879,0.351,9,9,up,0.657,0.292,0.813
skip,WIFI.JK,86.685,0.06,86.685,2,3.86,0.773,0.531,0.876,0.334,9,9,up,0.657,0.292,0.813
skip,DATA.JK,80.388,0.234,80.388,3,2.23,0.762,0.509,0.87,0.301,0,9,flat,0.657,0.292,0.813
skip,BREN.JK,104.785,0.09,104.785,2,1.89,0.759,0.502,0.868,0.29,9,9,flat,0.657,0.292,0.813
skip,PANI.JK,123.681,0.018,123.681,2,1.71,0.756,0.497,0.867,0.284,9,9,down,0.657,0.292,0.813
