ticker,price_at_cutoff,daily_return,vol_pace,score,last,closing_strength,afternoon_power
UNIC.JK,8250.0,0.0280373831775699,17.3,264.0324006951984,8250.0,1.0,0.1121495327102796
YULE.JK,3110.0,0.2390438247011952,105.11111111111111,219.2675904622487,3110.0,1.0,0.9561752988047808
JECC.JK,1645.0,0.2368421052631579,150.834008097166,159.46934146134024,1645.0,0.7973467073067012,0.9473684210526316
SHIP.JK,4700.0,0.0444444444444445,8.972746331236896,157.67018404667283,4700.0,0.7883509202333642,0.177777777777778
BUAH.JK,1440.0,0.0786516853932584,56.7081038552321,149.20229234449846,1440.0,0.7460114617224923,0.3146067415730336
CBUT.JK,1595.0,0.0493421052631579,28.41717791411043,135.05163741162346,1595.0,0.6752581870581174,0.1973684210526316
MKPI.JK,25250.0,0.0488058151609553,1.2352941176470589,127.81683993659134,25250.0,0.6390841996829567,0.1952232606438212
RELI.JK,820.0,0.2058823529411764,42.950413223140494,108.33041032499278,820.0,0.5416520516249639,0.8235294117647056
AADI.JK,6975.0,0.0182481751824816,2.5705420133689425,106.29285948507857,6975.0,0.5314642974253928,0.0729927007299264
NICL.JK,1135.0,0.0558139534883721,21.110175733978743,104.30477851967342,1135.0,0.5215238925983671,0.2232558139534884
