ticker,date,score,last,daily_return,closing_strength,afternoon_power,vol_pace,price_at_cutoff
HUMI.JK,2025-08-22,6.822371248381658,108.0,0.3500000000000001,1.0,0.28530835398032695,58.058877654794635,93.0
SSTM.JK,2025-08-22,6.571277274866221,248.0,0.34782608695652173,1.0,0.24,322.0983606557377,248.0
PRIM.JK,2025-08-22,4.975566495308569,114.0,0.2666666666666666,0.9166666666666666,0.0898695125863267,490.8388935810811,98.0
TOOL.JK,2025-08-22,4.480185536130677,66.0,0.26923076923076916,0.875,0.24528301886792447,24.52120640904807,55.0
IKBI.JK,2025-08-22,4.035781714668063,625.0,0.21359223300970864,0.8986486486486487,0.25243138679890564,18.195652173913043,520.0
CASH.JK,2025-08-22,4.0282760436441984,90.0,0.09756097560975618,1.0,0.03768454152616951,33.36091954022989,90.0
CSIS.JK,2025-08-22,3.9443554050653455,121.0,0.025423728813559254,1.0,0.030816363308704187,40.744516893894485,117.0
VKTR.JK,2025-08-22,3.9177011718738513,117.0,0.2061855670103092,0.8,0.19826544254401757,28.61378430453575,119.0
AGAR.JK,2025-08-22,3.333093612232387,254.0,0.07627118644067798,1.0,0.08547008547008539,16.340425531914892,234.0
VINS.JK,2025-08-22,3.303805638488313,130.0,0.06557377049180335,0.75,0.05141811527904849,144.23021582733813,126.0
