ticker,date,score,last,daily_return,closing_strength,afternoon_power,vol_pace,price_at_cutoff
MDLA.JK,2025-08-21,6.0627111566611935,262.0,0.24761904761904763,1.0,0.2359207723892185,77.72629267318825,262.0
ACST.JK,2025-08-21,5.829096992899767,163.0,0.3471074380165289,1.0,0.10053738004160251,496.18728144022793,163.0
SMAR.JK,2025-08-21,5.732556090729933,6050.0,0.24742268041237114,1.0,0.1688006033785565,86.17283950617283,6050.0
SOSS.JK,2025-08-21,4.917852934331033,840.0,0.24444444444444446,1.0,0.005091903123481734,503.0,840.0
PTSN.JK,2025-08-21,4.917476455357187,336.0,0.23529411764705888,0.96875,0.21739130434782616,28.237057220708447,284.0
MFIN.JK,2025-08-21,4.692243824148484,1875.0,0.25,1.0,0.0,41.682758620689654,1875.0
DATA.JK,2025-08-21,4.259266409409748,2950.0,0.25,1.0,0.09054110032325502,21.748882197280775,2800.0
ADCP.JK,2025-08-21,4.090671388286388,51.0,0.020000000000000018,1.0,0.020000000000000018,904.15,50.0
MAXI.JK,2025-08-21,4.014820319115272,51.0,0.020000000000000018,1.0,0.0010867011278195005,81.34920634920636,50.0
PNBS.JK,2025-08-21,3.957919675174084,51.0,0.020000000000000018,1.0,0.0,47.43939393939394,50.0
