ticker,date,score,last,daily_return,closing_strength,afternoon_power,vol_pace,price_at_cutoff
DFAM.JK,2025-08-21,7.258755014260293,72.0,0.33333333333333326,1.0,0.3846153846153846,11413.92,64.0
PRIM.JK,2025-08-21,7.061851495999927,90.0,0.34328358208955234,1.0,0.3370776338436452,64.41349559531378,80.0
ACRO.JK,2025-08-21,7.037221151630957,99.0,0.33783783783783794,1.0,0.33783783783783794,116.10384009856938,99.0
MDLA.JK,2025-08-21,6.0627111566611935,262.0,0.24761904761904763,1.0,0.2359207723892185,51.43227563042316,262.0
GULA.JK,2025-08-21,6.05933325126733,324.0,0.24615384615384617,1.0,0.23668452568547105,96.48073899371069,324.0
ACST.JK,2025-08-21,5.829096992899767,163.0,0.3471074380165289,1.0,0.10053738004160251,640.3254901960785,163.0
PTSN.JK,2025-08-21,5.042360095950181,336.0,0.23529411764705888,0.96875,0.21739130434782616,30.85387948011028,298.0
SMAR.JK,2025-08-21,4.966232855966665,6050.0,0.24742268041237114,1.0,0.1688006033785565,29.151133501259444,6050.0
SOSS.JK,2025-08-21,4.917852934331033,840.0,0.24444444444444446,1.0,0.005091903123481734,97.10204081632654,840.0
ADCP.JK,2025-08-21,4.090671388286388,51.0,0.020000000000000018,1.0,0.020000000000000018,608.2374100719425,51.0
