Rekomendasi Singkat,Kode Saham,Skor Sistem,Kekuatan Menjelang Tutup,Dorongan Sore,Konsistensi Muncul,Kecepatan Volume,Peluang Bertahan sampai Tutup,Peluang Naik ≥3% Besok Pagi,Peluang Lanjut Naik Lusa,Peluang Total Berantai,Kelompok Likuiditas,Kelompok Volatilitas,Arah Buka,Rata-rata: Bertahan sampai Tutup,Rata-rata: Naik ≥3% Besok Pagi,Rata-rata: Lanjut Naik Lusa
beli keluar lusa,BSDE.JK,95.991,0.0,0.0,3,6.74,0.491,0.258,0.591,0.071,9,8,flat,0.657,0.292,0.813
skip,SRAJ.JK,99.163,0.0,0.0,2,1.92,0.512,0.255,0.621,0.071,8,9,flat,0.657,0.292,0.813
skip,TEBE.JK,206.566,0.0,0.0,3,30.88,0.478,0.255,0.573,0.069,9,9,up,0.657,0.292,0.813
skip,PALM.JK,114.816,0.0,0.0,2,40.24,0.405,0.288,0.516,0.06,8,6,up,0.558,0.366,0.742
