ticker,price_at_cutoff,daily_return,vol_pace,score,last,afternoon_power,closing_strength
CBDK.JK,6850.0,0.0498084291187739,6.224502912231372,163.66546203066767,6850.0,163.66546203066767,0.0498084291187739
PANI.JK,15350.0,0.0165562913907284,2.591778634170052,158.41818414144552,15350.0,158.41818414144552,0.0165562913907284
CBUT.JK,1700.0,0.0725552050473186,43.36,156.36210811974763,1700.0,156.36210811974763,0.0725552050473186
KONI.JK,1560.0,0.2430278884462151,43.88235294117647,150.247726547159,1560.0,150.247726547159,0.2430278884462151
DUTI.JK,3350.0,0.0501567398119122,10.8125,142.91286842427328,3350.0,142.91286842427328,0.0501567398119122
SURE.JK,3200.0,0.0596026490066226,8.042553191489361,124.56062511630456,3200.0,124.56062511630456,0.0596026490066226
YULE.JK,2770.0,0.0183823529411764,7.5,112.63337169805564,2770.0,112.63337169805564,0.0183823529411764
BREN.JK,9575.0,0.072829131652661,2.0206804230757487,108.17355705030856,9575.0,108.17355705030856,0.072829131652661
DATA.JK,4710.0,0.2362204724409449,3.757994243024988,107.04999834082092,4710.0,107.04999834082092,0.2362204724409449
WIFI.JK,3020.0,0.0633802816901407,5.291792358441597,101.0748924421748,3020.0,101.0748924421748,0.0633802816901407
