ticker,price_at_cutoff,daily_return,vol_pace,score,last,afternoon_power,closing_strength
CBDK.JK,6825.0,0.0459770114942528,5.494820607806819,154.57038293066628,6825.0,154.57038293066628,0.0459770114942528
SURE.JK,3270.0,0.0827814569536424,10.544554455445544,139.8840819924976,3270.0,139.8840819924976,0.0827814569536424
DUTI.JK,3300.0,0.0344827586206897,10.176470588235292,138.66286944480552,3300.0,138.66286944480552,0.0344827586206897
KONI.JK,1560.0,0.2430278884462151,31.08333333333333,136.98832284904157,1560.0,136.98832284904157,0.2430278884462151
CBUT.JK,1730.0,0.0914826498422713,19.1375,124.88727260421916,1730.0,124.88727260421916,0.0914826498422713
PANI.JK,15375.0,0.0182119205298012,1.7113896626431446,123.68117838198408,15375.0,123.68117838198408,0.0182119205298012
BREN.JK,9725.0,0.0896358543417366,1.893783775777504,104.78527923155166,9725.0,104.78527923155166,0.0896358543417366
WIFI.JK,3010.0,0.0598591549295774,3.8550210046056335,86.68501441109305,3010.0,86.68501441109305,0.0598591549295774
DATA.JK,4700.0,0.2335958005249343,2.230300306566297,80.38769927181549,4700.0,80.38769927181549,0.2335958005249343
ADRO.JK,1810.0,0.0254957507082151,5.5583529269910175,80.01435924202231,1810.0,80.01435924202231,0.0254957507082151
