Rekomendasi Singkat,Kode Saham,Skor Sistem,Kekuatan Menjelang Tutup,Dorongan Sore,Konsistensi Muncul,Kecepatan Volume,Peluang Bertahan sampai Tutup,Peluang Naik ≥3% Besok Pagi,Peluang Lanjut Naik Lusa,Peluang Total Berantai,Kelompok Likuiditas,Kelompok Volatilitas,Arah Buka,Rata-rata: Bertahan sampai Tutup,Rata-rata: Naik ≥3% Besok Pagi,Rata-rata: Lanjut Naik Lusa
beli keluar lusa,SHIP.JK,269.702,0.099,269.702,3,42.67,0.792,0.57,0.887,0.397,7,9,up,0.657,0.292,0.813
beli keluar lusa,CBUT.JK,150.372,0.148,150.372,3,32.95,0.791,0.569,0.886,0.395,6,9,flat,0.657,0.292,0.813
neutral,ADRO.JK,127.105,0.048,127.105,3,18.2,0.789,0.564,0.885,0.386,9,8,flat,0.657,0.292,0.813
neutral,MASB.JK,154.303,0.031,154.303,3,13.56,0.787,0.56,0.884,0.381,2,9,down,0.657,0.292,0.813
neutral,CBDK.JK,183.323,0.046,183.323,3,8.2,0.783,0.552,0.882,0.367,9,9,up,0.657,0.292,0.813
skip,DATA.JK,140.573,0.155,140.573,3,7.32,0.782,0.549,0.881,0.363,0,9,flat,0.657,0.292,0.813
skip,SURE.JK,117.595,0.093,117.595,3,6.75,0.781,0.548,0.881,0.36,5,9,flat,0.657,0.292,0.813
skip,SMMT.JK,139.843,0.14,139.843,3,65.82,0.753,0.522,0.834,0.326,7,8,flat,0.592,0.21,0.725
skip,AADI.JK,119.634,0.011,119.634,3,3.16,0.769,0.524,0.874,0.323,9,9,flat,0.657,0.292,0.813
skip,UNTR.JK,165.08,0.013,165.08,3,1.84,0.758,0.5,0.868,0.288,9,9,flat,0.657,0.292,0.813
