ticker,price_at_cutoff,daily_return,vol_pace,score,last,closing_strength,afternoon_power
YULE.JK,2790.0,0.1115537848605576,91.14285714285714,207.6808015420613,2790.0,1.0,0.4462151394422304
POLU.JK,6900.0,0.0952380952380953,8.278350515463918,185.04531286029172,6900.0,0.9252265643014586,0.3809523809523812
JECC.JK,1610.0,0.2105263157894736,138.1377245508982,157.7637379688322,1610.0,0.788818689844161,0.8421052631578944
BUAH.JK,1435.0,0.0749063670411984,45.80089988751406,145.68814470038393,1435.0,0.7284407235019197,0.2996254681647936
CBUT.JK,1590.0,0.0460526315789473,19.435158501440924,120.31252666832,1590.0,0.6015626333416,0.1842105263157892
SHIP.JK,4700.0,0.0444444444444445,4.564315352697095,117.66866964893342,4700.0,0.588343348244667,0.177777777777778
TOBA.JK,1395.0,0.2130434782608696,16.95951378840652,107.87041172946604,1395.0,0.5393520586473302,0.8521739130434784
RELI.JK,795.0,0.1691176470588236,39.68006843455945,104.48604845824067,795.0,0.5224302422912034,0.6764705882352944
INTP.JK,6950.0,0.0145985401459853,2.429724135017532,102.74772701734923,6950.0,0.5137386350867462,0.0583941605839412
AADI.JK,6950.0,0.0145985401459853,2.2025319382623274,97.03393427230093,6950.0,0.48516967136150463,0.0583941605839412
