Rekomendasi Singkat,Kode Saham,Skor Sistem,Kekuatan Menjelang Tutup,Dorongan Sore,Konsistensi Muncul,Kecepatan Volume,Peluang Bertahan sampai Tutup,Peluang Naik ≥3% Besok Pagi,Peluang Lanjut Naik Lusa,Peluang Total Berantai,Kelompok Likuiditas,Kelompok Volatilitas,Arah Buka,Rata-rata: Bertahan sampai Tutup,Rata-rata: Naik ≥3% Besok Pagi,Rata-rata: Lanjut Naik Lusa
beli keluar lusa,YULE.JK,207.681,1.0,0.446,2,91.14,0.703,0.483,0.797,0.269,5,9,down,0.657,0.292,0.813
beli keluar lusa,JECC.JK,157.764,0.789,0.842,2,138.14,0.645,0.459,0.739,0.218,8,8,up,0.551,0.242,0.707
beli keluar lusa,RELI.JK,104.486,0.522,0.676,3,39.68,0.661,0.439,0.756,0.218,7,9,up,0.657,0.292,0.813
neutral,POLU.JK,185.045,0.925,0.381,1,8.28,0.667,0.436,0.765,0.214,6,9,flat,0.657,0.292,0.813
neutral,BUAH.JK,145.688,0.728,0.3,3,45.8,0.655,0.433,0.749,0.211,8,9,up,0.657,0.292,0.813
skip,TOBA.JK,107.87,0.539,0.852,1,16.96,0.651,0.426,0.747,0.203,9,9,flat,0.657,0.292,0.813
skip,CBUT.JK,120.313,0.602,0.184,3,19.44,0.614,0.389,0.71,0.167,6,9,flat,0.657,0.292,0.813
skip,SHIP.JK,117.669,0.588,0.178,3,4.56,0.615,0.376,0.717,0.155,7,9,up,0.657,0.292,0.813
skip,AADI.JK,97.034,0.485,0.058,2,2.2,0.575,0.322,0.683,0.112,9,9,flat,0.657,0.292,0.813
skip,INTP.JK,102.748,0.514,0.058,1,2.43,0.563,0.312,0.671,0.106,9,9,flat,0.657,0.292,0.813
