ticker,price_at_cutoff,daily_return,vol_pace,zvol,persist_n,persist_m,micro_spread_pct,afternoon_power,buy_1_pct,score,last,flags,vwap,vwap_delta_pct
NCKL.JK,1095.0,0.08415841584158423,3.462563145428093,2.310873582996506,4,6,0.5500436582421606,0.36133466592799995,0.49334635438590585,70.26010470267568,1095.0,+zvol+0.30|+vwap+0.02|+persist+0.07,1069.6352833136189,2.3713425577925884
KMTR.JK,360.0,0.24137931034482762,10.120877118386685,7.108283958243713,3,6,0.22222222222222224,0.5542311847317248,0.03733475054806351,65.86140286399609,360.0,+zvol+0.30|+vwap+0.06|+persist+0.05,341.0048253510983,5.57035362456948
MMIX.JK,274.0,0.05384615384615388,1.6715791180285344,3.653707946179394,4,6,0.5871777745972679,0.4168064944763974,0.541890853189854,23.296666208134745,274.0,+zvol+0.30|+vwap+0.03|+persist+0.07,265.28440491547286,3.285377852235283
LAPD.JK,99.0,0.10000000000000009,2.853670398703075,4.991839583009193,3,6,0.0,0.25677542136676573,0.0,20.560667576287877,99.0,+zvol+0.30|+vwap+0.12|+persist+0.05,88.22030726842137,12.21906051492212
