ticker,date,score,last,daily_return,closing_strength,afternoon_power,vol_pace,price_at_cutoff
HUMI.JK,2025-08-22,6.627864694744865,108.0,0.3500000000000001,1.0,0.28530835398032695,44.59184451078533,102.0
SSTM.JK,2025-08-22,6.571277274866221,248.0,0.34782608695652173,1.0,0.24,97.89845474613686,248.0
TOOL.JK,2025-08-22,5.437646371236852,66.0,0.26923076923076916,0.875,0.24528301886792447,332.3474968447623,57.0
PRIM.JK,2025-08-22,4.975566495308569,114.0,0.2666666666666666,0.9166666666666666,0.0898695125863267,153.6410998552822,95.0
JECC.JK,2025-08-22,4.903178498515119,1065.0,0.2456140350877194,1.0,0.2603550295857988,21.7192118226601,1065.0
WOWS.JK,2025-08-22,3.9037307873245135,96.0,0.09090909090909083,1.0,0.0,34.816901408450704,96.0
IKBI.JK,2025-08-22,3.7454700022765617,625.0,0.21359223300970864,0.8986486486486487,0.25243138679890564,14.520166898470098,535.0
VKTR.JK,2025-08-22,3.6679547913532184,117.0,0.2061855670103092,0.8,0.19826544254401757,22.86101025226989,114.0
MPIX.JK,2025-08-22,3.6419795123632377,68.0,0.0625,0.8333333333333334,0.04615384615384621,63.704252118140786,67.0
FITT.JK,2025-08-22,3.6001751848142964,372.0,0.24,0.9722222222222222,0.027156801624984128,17.308504466875508,372.0
