Rekomendasi Singkat,Kode Saham,Skor Sistem,Kekuatan Menjelang Tutup,Dorongan Sore,Konsistensi Muncul,Kecepatan Volume,Peluang Bertahan sampai Tutup,Peluang Naik ≥3% Besok Pagi,Peluang Lanjut Naik Lusa,Peluang Total Berantai,Kelompok Likuiditas,Kelompok Volatilitas,Arah Buka,Rata-rata: Bertahan sampai Tutup,Rata-rata: Naik ≥3% Besok Pagi,Rata-rata: Lanjut Naik Lusa
skip,DOID.JK,23.926,0.0,0.765,1,1.46,0.564,0.285,0.643,0.089,8,5,flat,0.655,0.27,0.765
beli keluar lusa,BSDE.JK,95.991,0.0,0.0,3,6.74,0.491,0.258,0.591,0.071,9,8,flat,0.657,0.292,0.813
skip,SRAJ.JK,99.163,0.0,0.0,2,1.92,0.512,0.255,0.621,0.071,8,9,flat,0.657,0.292,0.813
skip,TEBE.JK,206.566,0.0,0.0,3,30.88,0.478,0.255,0.573,0.069,9,9,up,0.657,0.292,0.813
skip,JAWA.JK,18.169,0.0,0.515,1,1.73,0.514,0.235,0.631,0.066,6,4,flat,0.62,0.227,0.786
skip,PALM.JK,114.816,0.0,0.0,2,40.24,0.405,0.288,0.516,0.06,8,6,up,0.558,0.366,0.742
skip,CCSI.JK,53.667,0.0,0.472,1,6.48,0.358,0.294,0.53,0.053,7,7,up,0.423,0.323,0.691
