Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,90.0,100.0,90.0,91.0,91.0,12292300
2025-03-04,91.0,94.0,87.0,91.0,91.0,1111700
2025-03-05,90.0,94.0,90.0,94.0,94.0,247400
2025-03-06,99.0,99.0,91.0,91.0,91.0,277300
2025-03-07,91.0,92.0,89.0,91.0,91.0,144900
2025-03-10,90.0,92.0,90.0,91.0,91.0,15900
2025-03-11,91.0,91.0,89.0,91.0,91.0,425300
2025-03-12,90.0,93.0,88.0,91.0,91.0,28634800
2025-03-13,91.0,93.0,91.0,93.0,93.0,383700
2025-03-14,93.0,94.0,91.0,92.0,92.0,114700
2025-03-17,91.0,95.0,90.0,92.0,92.0,77900
2025-03-18,91.0,93.0,87.0,91.0,91.0,334600
2025-03-19,91.0,91.0,89.0,91.0,91.0,15200
2025-03-20,91.0,92.0,89.0,91.0,91.0,21900
2025-03-21,89.0,91.0,88.0,91.0,91.0,64600
2025-03-24,91.0,91.0,87.0,90.0,90.0,95700
2025-03-25,89.0,91.0,88.0,90.0,90.0,94900
2025-03-26,90.0,90.0,88.0,90.0,90.0,19800
2025-03-27,90.0,90.0,89.0,89.0,89.0,20400
2025-04-08,88.0,88.0,78.0,86.0,86.0,333300
2025-04-09,86.0,88.0,84.0,88.0,88.0,43400
2025-04-10,88.0,88.0,87.0,88.0,88.0,105900
2025-04-11,84.0,88.0,84.0,88.0,88.0,74100
2025-04-14,88.0,89.0,86.0,88.0,88.0,132500
2025-04-15,88.0,88.0,87.0,88.0,88.0,84700
2025-04-16,88.0,88.0,84.0,88.0,88.0,102300
2025-04-17,87.0,88.0,87.0,88.0,88.0,5300
2025-04-21,90.0,90.0,85.0,86.0,86.0,113700
2025-04-22,86.0,88.0,80.0,86.0,86.0,306100
2025-04-23,86.0,87.0,86.0,86.0,86.0,28300
2025-04-24,86.0,88.0,84.0,85.0,85.0,103600
2025-04-25,85.0,91.0,84.0,89.0,89.0,340200
2025-04-28,90.0,91.0,87.0,89.0,89.0,150000
2025-04-29,89.0,91.0,88.0,90.0,90.0,27300
2025-04-30,90.0,90.0,88.0,89.0,89.0,52200
2025-05-02,90.0,91.0,88.0,90.0,90.0,69600
2025-05-05,90.0,91.0,89.0,91.0,91.0,59900
2025-05-06,92.0,92.0,89.0,91.0,91.0,89500
2025-05-07,90.0,91.0,87.0,91.0,91.0,28800
2025-05-08,91.0,92.0,88.0,91.0,91.0,42500
2025-05-09,91.0,91.0,89.0,89.0,89.0,47800
2025-05-14,90.0,92.0,89.0,90.0,90.0,26400
2025-05-15,91.0,92.0,89.0,92.0,92.0,32900
2025-05-16,92.0,93.0,89.0,89.0,89.0,118200
2025-05-19,93.0,93.0,89.0,91.0,91.0,130900
2025-05-20,91.0,93.0,90.0,91.0,91.0,23000
2025-05-21,92.0,93.0,91.0,91.0,91.0,34900
2025-05-22,90.0,93.0,90.0,93.0,93.0,68000
2025-05-23,93.0,94.0,93.0,94.0,94.0,250600
2025-05-26,94.0,104.0,85.0,92.0,92.0,3204400
2025-05-27,92.0,92.0,88.0,90.0,90.0,165400
2025-05-28,91.0,92.0,88.0,90.0,90.0,140300
2025-06-02,89.0,89.0,87.0,88.0,88.0,84300
2025-06-03,88.0,90.0,87.0,90.0,90.0,76700
2025-06-04,90.0,90.0,88.0,89.0,89.0,19400
2025-06-05,88.0,89.0,86.0,88.0,88.0,191600
2025-06-10,88.0,89.0,85.0,86.0,86.0,296100
2025-06-11,86.0,89.0,84.0,86.0,86.0,323600
2025-06-12,85.0,86.0,84.0,85.0,85.0,195700
2025-06-13,86.0,86.0,83.0,84.0,84.0,163400
2025-06-16,85.0,87.0,81.0,85.0,85.0,169800
2025-06-17,89.0,89.0,84.0,85.0,85.0,63200
2025-06-18,85.0,86.0,83.0,84.0,84.0,353500
2025-06-19,85.0,91.0,83.0,85.0,85.0,336100
2025-06-20,85.0,85.0,83.0,84.0,84.0,22800
2025-06-23,83.0,83.0,78.0,78.0,78.0,314400
2025-06-24,78.0,83.0,78.0,80.0,80.0,217000
2025-06-25,81.0,82.0,81.0,82.0,82.0,106700
2025-06-26,81.0,86.0,81.0,81.0,81.0,243900
2025-06-30,82.0,84.0,80.0,84.0,84.0,154000
2025-07-01,83.0,83.0,82.0,83.0,83.0,12900
2025-07-02,83.0,83.0,80.0,83.0,83.0,24100
2025-07-03,82.0,83.0,80.0,83.0,83.0,3200
2025-07-04,83.0,90.0,80.0,90.0,90.0,2766400
2025-07-07,92.0,121.0,91.0,99.0,99.0,110699700
2025-07-08,99.0,101.0,87.0,89.0,89.0,18515300
2025-07-09,90.0,94.0,86.0,89.0,89.0,10969300
2025-07-10,90.0,97.0,89.0,90.0,90.0,15400200
2025-07-11,91.0,92.0,88.0,88.0,88.0,4131000
2025-07-14,89.0,90.0,85.0,86.0,86.0,5604900
2025-07-15,86.0,87.0,83.0,84.0,84.0,2538100
2025-07-16,84.0,85.0,82.0,85.0,85.0,4053700
2025-07-17,85.0,85.0,82.0,83.0,83.0,1888100
2025-07-18,83.0,83.0,81.0,82.0,82.0,2305500
2025-07-21,82.0,83.0,81.0,82.0,82.0,1839300
2025-07-22,82.0,83.0,81.0,83.0,83.0,1010400
2025-07-23,83.0,88.0,81.0,85.0,85.0,7933900
2025-07-24,85.0,88.0,84.0,87.0,87.0,3011900
2025-07-25,87.0,88.0,86.0,88.0,88.0,1014000
2025-07-28,88.0,90.0,87.0,90.0,90.0,4175500
2025-07-29,89.0,97.0,87.0,90.0,90.0,19566200
2025-07-30,91.0,94.0,91.0,92.0,92.0,4986500
2025-07-31,93.0,97.0,88.0,89.0,89.0,3280500
2025-08-01,89.0,92.0,86.0,90.0,90.0,1351700
2025-08-04,90.0,90.0,88.0,90.0,90.0,727400
2025-08-05,88.0,97.0,88.0,97.0,97.0,5468300
2025-08-06,97.0,97.0,92.0,94.0,94.0,3679500
2025-08-07,94.0,95.0,92.0,95.0,95.0,997200
2025-08-08,94.0,95.0,92.0,93.0,93.0,5472700
2025-08-11,93.0,97.0,92.0,93.0,93.0,780300
