Ticker,Tanggal,O1,H1,L1,C1,O2,H2,L2,C2,Close Price
BBRI,2025-02-26,3810.0,3840.0,3800.0,3840.0,3810.0,3840.0,3800.0,3840.0,3780.0
BBRI,2025-02-27,3790.0,3800.0,3780.0,3790.0,3790.0,3800.0,3780.0,3790.0,3660.0
BBRI,2025-02-28,3500.0,3500.0,3410.0,3480.0,3500.0,3500.0,3410.0,3480.0,3370.0
BBRI,2025-03-01,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0
BBRI,2025-03-02,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0
BBRI,2025-03-03,3520.0,3540.0,3470.0,3520.0,3520.0,3540.0,3470.0,3520.0,3720.0
BBRI,2025-03-04,3680.0,3690.0,3600.0,3630.0,3680.0,3690.0,3600.0,3630.0,3670.0
BBRI,2025-03-05,3720.0,3810.0,3710.0,3800.0,3720.0,3810.0,3710.0,3800.0,3840.0
BBRI,2025-02-18,4030.0,4090.0,4030.0,4070.0,4030.0,4090.0,4030.0,4070.0,4120.0
BBRI,2025-02-19,4170.0,4180.0,4110.0,4130.0,4170.0,4180.0,4110.0,4130.0,4040.0
BBRI,2025-02-20,3980.0,4020.0,3970.0,3990.0,3980.0,4020.0,3970.0,3990.0,3920.0
BBRI,2025-02-21,3910.0,3920.0,3870.0,3910.0,3910.0,3920.0,3870.0,3910.0,3910.0
BBRI,2025-02-22,3890.0,3890.0,3890.0,3890.0,3890.0,3890.0,3890.0,3890.0,3890.0
BBRI,2025-02-23,3890.0,3890.0,3890.0,3890.0,3890.0,3890.0,3890.0,3890.0,3890.0
BBRI,2025-02-24,3900.0,3930.0,3890.0,3910.0,3900.0,3930.0,3890.0,3910.0,3910.0
BBRI,2025-02-25,3890.0,3920.0,3880.0,3890.0,3890.0,3920.0,3880.0,3890.0,3820.0
BBRI,2025-02-10,4010.0,4020.0,3990.0,4010.0,4010.0,4020.0,3990.0,4010.0,3960.0
BBRI,2025-02-11,3980.0,3980.0,3950.0,3960.0,3980.0,3980.0,3950.0,3960.0,3990.0
BBRI,2025-02-12,3970.0,4000.0,3950.0,3980.0,3970.0,4000.0,3950.0,3980.0,4050.0
BBRI,2025-02-13,4010.0,4030.0,3990.0,3990.0,4010.0,4030.0,3990.0,3990.0,3990.0
BBRI,2025-02-14,4000.0,4010.0,3990.0,3990.0,4000.0,4010.0,3990.0,3990.0,3880.0
BBRI,2025-02-15,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0
BBRI,2025-02-16,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0
BBRI,2025-02-17,3880.0,3920.0,3880.0,3910.0,3880.0,3920.0,3880.0,3910.0,4020.0
BBRI,2025-02-03,4200.0,4200.0,4160.0,4190.0,4200.0,4200.0,4160.0,4190.0,4230.0
BBRI,2025-02-04,4270.0,4300.0,4260.0,4280.0,4270.0,4300.0,4260.0,4280.0,4260.0
BBRI,2025-02-05,4250.0,4250.0,4220.0,4230.0,4250.0,4250.0,4220.0,4230.0,4150.0
BBRI,2025-02-06,4120.0,4150.0,4110.0,4140.0,4120.0,4150.0,4110.0,4140.0,3970.0
BBRI,2025-02-07,3970.0,3990.0,3950.0,3970.0,3970.0,3990.0,3950.0,3970.0,4000.0
BBRI,2025-01-30,4130.0,4170.0,4120.0,4130.0,4130.0,4170.0,4120.0,4130.0,4110.0
BBRI,2025-01-31,4170.0,4190.0,4150.0,4190.0,4170.0,4190.0,4150.0,4190.0,4240.0
BBRI,2025-01-17,4140.0,4150.0,4120.0,4130.0,4140.0,4150.0,4120.0,4130.0,4100.0
BBRI,2025-01-18,4090.0,4090.0,4090.0,4090.0,4090.0,4090.0,4090.0,4090.0,4090.0
BBRI,2025-01-19,4090.0,4090.0,4090.0,4090.0,4090.0,4090.0,4090.0,4090.0,4090.0
BBRI,2025-01-20,4130.0,4160.0,4130.0,4150.0,4130.0,4160.0,4130.0,4150.0,4220.0
BBRI,2025-01-21,4280.0,4290.0,4250.0,4290.0,4280.0,4290.0,4250.0,4290.0,4280.0
BBRI,2025-01-22,4310.0,4310.0,4270.0,4310.0,4310.0,4310.0,4270.0,4310.0,4260.0
BBRI,2025-01-23,4270.0,4310.0,4260.0,4300.0,4270.0,4310.0,4260.0,4300.0,4310.0
BBRI,2025-01-24,4340.0,4350.0,4280.0,4320.0,4340.0,4350.0,4280.0,4320.0,4230.0
BBRI,2025-01-09,4080.0,4080.0,4060.0,4080.0,4080.0,4080.0,4060.0,4080.0,4040.0
BBRI,2025-01-10,4040.0,4060.0,4030.0,4050.0,4040.0,4060.0,4030.0,4050.0,4030.0
BBRI,2025-01-11,4010.0,4010.0,4010.0,4010.0,4010.0,4010.0,4010.0,4010.0,4010.0
BBRI,2025-01-12,4010.0,4010.0,4010.0,4010.0,4010.0,4010.0,4010.0,4010.0,4010.0
BBRI,2025-01-13,3990.0,3990.0,3960.0,3960.0,3990.0,3990.0,3960.0,3960.0,3870.0
BBRI,2025-01-14,3830.0,3920.0,3820.0,3880.0,3830.0,3920.0,3820.0,3880.0,3830.0
BBRI,2025-01-15,3840.0,3880.0,3840.0,3850.0,3840.0,3880.0,3840.0,3850.0,4090.0
BBRI,2025-01-16,4220.0,4240.0,4190.0,4200.0,4220.0,4240.0,4190.0,4200.0,4190.0
