Date,ticker,prev_close,Close,return_%,rank
2025-03-11,MINA.JK,189.0,254.0,34.39,1
2025-03-11,RELI.JK,354.0,442.0,24.86,2
2025-03-11,MINE.JK,270.0,336.0,24.44,3
2025-03-11,BAIK.JK,78.0,97.0,24.36,4
2025-03-11,SONA.JK,3750.0,4600.0,22.67,5
2025-03-11,BTEK.JK,6.0,7.0,16.67,6
2025-03-11,JGLE.JK,6.0,7.0,16.67,7
2025-03-11,NAIK.JK,555.0,630.0,13.51,8
2025-03-11,RDTX.JK,12100.0,13475.0,11.36,9
2025-03-11,BESS.JK,900.0,990.0,10.0,10
2025-03-12,MINE.JK,336.0,420.0,25.0,1
2025-03-12,RELI.JK,442.0,550.0,24.43,2
2025-03-12,TEBE.JK,595.0,740.0,24.37,3
2025-03-12,RONY.JK,1480.0,1780.0,20.27,4
2025-03-12,LABA.JK,150.0,178.0,18.67,5
2025-03-12,IOTF.JK,92.0,108.0,17.39,6
2025-03-12,TAXI.JK,6.0,7.0,16.67,7
2025-03-12,SMIL.JK,306.0,352.0,15.03,8
2025-03-12,MSIN.JK,575.0,660.0,14.78,9
2025-03-12,KOTA.JK,7.0,8.0,14.29,10
2025-03-13,INAI.JK,150.0,193.0,28.67,1
2025-03-13,MINE.JK,420.0,525.0,25.0,2
2025-03-13,SMDM.JK,1950.0,2430.0,24.62,3
2025-03-13,MTFN.JK,5.0,6.0,20.0,4
2025-03-13,AKSI.JK,178.0,212.0,19.1,5
2025-03-13,WIFI.JK,1625.0,1935.0,19.08,6
2025-03-13,HADE.JK,6.0,7.0,16.67,7
2025-03-13,JGLE.JK,6.0,7.0,16.67,8
2025-03-13,LIVE.JK,198.0,230.0,16.16,9
2025-03-13,JMAS.JK,130.0,149.0,14.62,10
2025-03-14,KICI.JK,113.0,152.0,34.51,1
2025-03-14,SMIL.JK,346.0,432.0,24.86,2
2025-03-14,MSIN.JK,755.0,940.0,24.5,3
2025-03-14,BTEK.JK,7.0,8.0,14.29,4
2025-03-14,DADA.JK,7.0,8.0,14.29,5
2025-03-14,TAXI.JK,8.0,9.0,12.5,6
2025-03-14,ENAK.JK,630.0,700.0,11.11,7
2025-03-14,MIRA.JK,9.0,10.0,11.11,8
2025-03-14,HRTA.JK,478.0,530.0,10.88,9
2025-03-14,TEBE.JK,705.0,780.0,10.64,10
2025-03-17,FITT.JK,130.0,175.0,34.62,1
2025-03-17,SOCI.JK,140.0,178.0,27.14,2
2025-03-17,IOTF.JK,96.0,122.0,27.08,3
2025-03-17,PSAB.JK,240.0,300.0,25.0,4
2025-03-17,VAST.JK,99.0,119.0,20.2,5
2025-03-17,BAIK.JK,82.0,97.0,18.29,6
2025-03-17,HADE.JK,7.0,8.0,14.29,7
2025-03-17,KOTA.JK,7.0,8.0,14.29,8
2025-03-17,GPSO.JK,478.0,545.0,14.02,9
2025-03-17,CYBR.JK,630.0,715.0,13.49,10
2025-03-18,FMII.JK,372.0,464.0,24.73,1
2025-03-18,FWCT.JK,185.0,228.0,23.24,2
2025-03-18,ANJT.JK,1350.0,1615.0,19.63,3
2025-03-18,MINE.JK,442.0,510.0,15.38,4
2025-03-18,IKAI.JK,7.0,8.0,14.29,5
2025-03-18,MDRN.JK,7.0,8.0,14.29,6
2025-03-18,BUVA.JK,71.0,81.0,14.08,7
2025-03-18,TARA.JK,9.0,10.0,11.11,8
2025-03-18,ANDI.JK,10.0,11.0,10.0,9
2025-03-18,ASHA.JK,10.0,11.0,10.0,10
2025-03-19,WAPO.JK,108.0,137.0,26.85,1
2025-03-19,LION.JK,392.0,490.0,25.0,2
2025-03-19,BESS.JK,990.0,1235.0,24.75,3
2025-03-19,IFII.JK,240.0,298.0,24.17,4
2025-03-19,NAIK.JK,510.0,615.0,20.59,5
2025-03-19,DCII.JK,115800.0,138950.0,19.99,6
2025-03-19,UVCR.JK,60.0,71.0,18.33,7
