date,slot,slot_order,ticker,score,vol_pace,last,price_at_cutoff,daily_return,closing_strength,afternoon_power,first_seen_slot,last_seen_slot,time_seen_count,persist_count,is_latest_for_ticker,source_file
2025-08-27,0930,1,AADI.JK,119.63393702590108,3.1571072319202,7050.0,7050.0,0.010752688172043,0.010752688172043,119.63393702590108,0930,0930,1,1,1,bpjs_rekomendasi_2025-08-27_0930.csv
2025-08-27,0930,1,ADRO.JK,127.10479770339671,18.204152298645,1850.0,1850.0,0.0481586402266289,0.0481586402266289,127.10479770339671,0930,1415,2,2,0,bpjs_rekomendasi_2025-08-27_0930.csv
2025-08-27,0930,1,CBDK.JK,183.3231893657073,8.198540513336688,6825.0,6825.0,0.0459770114942528,0.0459770114942528,183.3231893657073,0930,1415,3,3,0,bpjs_rekomendasi_2025-08-27_0930.csv
2025-08-27,0930,1,CBUT.JK,150.37180323894566,32.945945945945944,1820.0,1820.0,0.1482649842271293,0.1482649842271293,150.37180323894566,0930,1415,3,3,0,bpjs_rekomendasi_2025-08-27_0930.csv
2025-08-27,0930,1,DATA.JK,140.5734379524267,7.324677650429799,4400.0,4400.0,0.1548556430446195,0.1548556430446195,140.5734379524267,0930,1415,3,3,0,bpjs_rekomendasi_2025-08-27_0930.csv
2025-08-27,0930,1,MASB.JK,154.30329306795954,13.555555555555555,3320.0,3320.0,0.0310559006211179,0.0310559006211179,154.30329306795954,0930,0930,1,1,1,bpjs_rekomendasi_2025-08-27_0930.csv
2025-08-27,0930,1,SHIP.JK,269.70211728423743,42.66666666666666,5100.0,5100.0,0.0991379310344826,0.0991379310344826,269.70211728423743,0930,0930,1,1,1,bpjs_rekomendasi_2025-08-27_0930.csv
2025-08-27,0930,1,SMMT.JK,139.84260724034456,65.81666666666666,1265.0,1265.0,0.1396396396396395,0.1396396396396395,139.84260724034456,0930,0930,1,1,1,bpjs_rekomendasi_2025-08-27_0930.csv
2025-08-27,0930,1,SURE.JK,117.59465170520023,6.745098039215686,3300.0,3300.0,0.0927152317880795,0.0927152317880795,117.59465170520023,0930,1415,3,3,0,bpjs_rekomendasi_2025-08-27_0930.csv
2025-08-27,0930,1,UNTR.JK,165.0803180857436,1.8377659574468088,25050.0,25050.0,0.0131445904954499,0.0131445904954499,165.0803180857436,0930,0930,1,1,1,bpjs_rekomendasi_2025-08-27_0930.csv
