round,ticker,daily,m1,m5,error
0,MTMH.JK,skip(empty),(ok),(ok),
0,DMAS.JK,skip(empty),(ok),(ok),
0,CARE.JK,skip(empty),(ok),(ok),
0,GGRM.JK,skip(empty),(ok),(ok),
0,ASSA.JK,skip(empty),(ok),(ok),
0,DOID.JK,skip(empty),(ok),(ok),
0,DGWG.JK,skip(empty),(ok),(ok),
0,ULTJ.JK,skip(empty),(ok),(ok),
0,CNMA.JK,skip(empty),(ok),(ok),
0,SOLA.JK,skip(empty),(ok),(ok),
0,MLPL.JK,skip(empty),(ok),(ok),
0,BEEF.JK,skip(empty),(ok),(ok),
0,SNLK.JK,skip(empty),(ok),(ok),
0,ASPR.JK,skip(empty),(ok),(ok),
0,NAIK.JK,skip(empty),(ok),(ok),
0,MTDL.JK,skip(empty),(ok),(ok),
0,KRYA.JK,skip(empty),(ok),(ok),
0,MIDI.JK,skip(empty),(ok),(ok),
0,TPMA.JK,skip(empty),(ok),(ok),
0,MPMX.JK,skip(empty),(ok),(ok),
0,DAAZ.JK,skip(empty),(ok),(ok),
0,MINE.JK,skip(empty),(ok),(ok),
0,BIRD.JK,skip(empty),(ok),(ok),
0,ASRI.JK,skip(empty),(ok),(ok),
0,AALI.JK,skip(empty),(ok),(ok),
0,MGRO.JK,skip(empty),(ok),(ok),
0,SPRE.JK,skip(empty),(ok),(ok),
0,BJBR.JK,skip(empty),(ok),(ok),
0,MSTI.JK,skip(empty),(ok),(ok),
0,ERAL.JK,skip(empty),(ok),(ok),
0,ANJT.JK,skip(empty),(ok),(ok),
0,DEWI.JK,skip(empty),(ok),(ok),
0,KEEN.JK,skip(empty),(ok),(ok),
0,NINE.JK,skip(empty),(ok),(ok),
0,BSML.JK,skip(empty),(ok),(ok),
0,BDKR.JK,skip(empty),(ok),(ok),
0,IPCC.JK,skip(empty),(ok),(ok),
0,ABMM.JK,skip(empty),(ok),(ok),
0,RALS.JK,skip(empty),(ok),(ok),
0,BABY.JK,skip(empty),(ok),(ok),
0,TSPC.JK,skip(empty),(ok),(ok),
0,PPRI.JK,skip(empty),(ok),(ok),
0,RGAS.JK,skip(empty),(ok),(ok),
0,PMUI.JK,skip(empty),(ok),(ok),
0,ALII.JK,skip(empty),(ok),(ok),
0,GIAA.JK,skip(empty),(ok),(ok),
0,AGRO.JK,skip(empty),(ok),(ok),
0,HILL.JK,skip(empty),(ok),(ok),
0,SMGA.JK,skip(empty),(ok),(ok),
0,TBLA.JK,skip(empty),(ok),(ok),
0,TEBE.JK,skip(empty),(ok),(ok),
0,SIMP.JK,skip(empty),(ok),(ok),
0,INPC.JK,skip(empty),(ok),(ok),
0,BSSR.JK,skip(empty),(ok),(ok),
0,JARR.JK,skip(empty),(ok),(ok),
0,MAIN.JK,skip(empty),(ok),(ok),
0,TUGU.JK,skip(empty),(ok),(ok),
0,SILO.JK,skip(empty),(ok),(ok),
0,STRK.JK,skip(empty),(ok),(ok),
0,LPKR.JK,skip(empty),(ok),(ok),
0,NOBU.JK,skip(empty),(ok),(ok),
0,BDMN.JK,skip(empty),(ok),(ok),
0,SMSM.JK,skip(empty),(ok),(ok),
0,KRAS.JK,skip(empty),(ok),(ok),
0,PRDA.JK,skip(empty),(ok),(ok),
0,ELIT.JK,skip(empty),(ok),(ok),
0,HUMI.JK,skip(empty),(ok),(ok),
0,HAJJ.JK,skip(empty),(ok),(ok),
0,POWR.JK,skip(empty),(ok),(ok),
0,BCAP.JK,skip(empty),(ok),(ok),
0,LABA.JK,skip(empty),(ok),(ok),
0,DILD.JK,skip(empty),(ok),(ok),
0,CPRO.JK,skip(empty),(ok),(ok),
0,BUVA.JK,skip(empty),(ok),(ok),
0,GEMS.JK,skip(empty),(ok),(ok),
0,OBAT.JK,skip(empty),(ok),(ok),
0,HAIS.JK,skip(empty),(ok),(ok),
0,PART.JK,skip(empty),(ok),(ok),
0,MDLA.JK,skip(empty),(ok),(ok),
0,KKGI.JK,skip(empty),(ok),(ok),
0,BCIP.JK,skip(empty),(ok),(ok),
0,DMMX.JK,skip(empty),(ok),(ok),
0,NSSS.JK,skip(empty),(ok),(ok),
0,TOTL.JK,skip(empty),(ok),(ok),
0,VKTR.JK,skip(empty),(ok),(ok),
0,HGII.JK,skip(empty),(ok),(ok),
0,KLAS.JK,skip(empty),(ok),(ok),
0,WIIM.JK,skip(empty),(ok),(ok),
0,MPPA.JK,skip(empty),(ok),(ok),
0,FUTR.JK,skip(empty),(ok),(ok),
0,RSCH.JK,skip(empty),(ok),(ok),
0,WOOD.JK,skip(empty),(ok),(ok),
0,JATI.JK,skip(empty),(ok),(ok),
