ticker,daily_rows,daily_last,daily_age_days,daily_cols,daily_monotonic,daily_dups,daily_vol_zero,daily_na_%,m1_rows,m1_last,m1_cols,m1_monotonic,m1_dups,m1_outside_session,m1_vol_zero,m1_na_%,m5_rows,m5_last,m5_cols,m5_monotonic,m5_dups,m5_outside_session,m5_vol_zero,m5_na_%,consistency_1m_to_5m,price_mismatch,vol_mismatch
INDS.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,183,2025-08-13 09:00:00,"Open,High,Low,Close,Volume",True,0,43,38,0.0,116,2025-08-08 09:00:00,"Open,High,Low,Close,Volume",True,0,21,10,0.0,NO_OVERLAP,,
HUMI.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,780,2025-08-13 09:10:00,"Open,High,Low,Close,Volume",True,0,215,130,0.0,174,2025-08-08 09:15:00,"Open,High,Low,Close,Volume",True,0,52,0,0.0,NO_OVERLAP,,
LABS.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,293,2025-08-13 09:02:00,"Open,High,Low,Close,Volume",True,0,71,0,0.0,0,,,True,0,0,0,,,,
MPPA.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,718,2025-08-13 09:00:00,"Open,High,Low,Close,Volume",True,0,193,105,0.0,174,2025-08-08 09:15:00,"Open,High,Low,Close,Volume",True,0,52,0,0.0,NO_OVERLAP,,
LAND.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,0,,,True,0,0,0,,0,,,True,0,0,0,,,,
JARR.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,784,2025-08-13 09:07:00,"Open,High,Low,Close,Volume",True,0,212,108,0.0,174,2025-08-08 09:15:00,"Open,High,Low,Close,Volume",True,0,52,0,0.0,NO_OVERLAP,,
BLES.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,304,2025-08-13 09:00:00,"Open,High,Low,Close,Volume",True,0,85,69,0.0,141,2025-08-08 08:40:00,"Open,High,Low,Close,Volume",True,0,38,0,0.0,NO_OVERLAP,,
UNIT.JK,99,2025-08-08 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,99,0.0,0,,,True,0,0,0,,0,,,True,0,0,0,,,,
MRAT.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,104,2025-08-13 09:08:00,"Open,High,Low,Close,Volume",True,0,20,22,0.0,72,2025-08-08 09:05:00,"Open,High,Low,Close,Volume",True,0,19,7,0.0,NO_OVERLAP,,
SOUL.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,450,2025-08-13 09:10:00,"Open,High,Low,Close,Volume",True,0,106,101,0.0,102,2025-08-08 09:15:00,"Open,High,Low,Close,Volume",True,0,29,0,0.0,NO_OVERLAP,,
