round,ticker,daily,m1,m5,m15,error
0,SMIL.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,DKFT.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,CMNT.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,AKRA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,SCMA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MAPI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MIKA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,INET.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,TINS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,EXCL.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MSIN.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MAPA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,CTRA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MERI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,ENRG.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,HRTA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,CYBR.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,SMRA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,INDY.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,EMTK.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,DSNG.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,TAPG.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,FILM.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MARK.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,INTP.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ESSA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,UNIQ.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BTPS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,SIDO.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
