ticker,daily_rows,daily_last,daily_age_days,daily_cols,daily_monotonic,daily_dups,daily_vol_zero,daily_na_%,m1_rows,m1_last,m1_cols,m1_monotonic,m1_dups,m1_outside_session,m1_vol_zero,m1_na_%,m5_rows,m5_last,m5_cols,m5_monotonic,m5_dups,m5_outside_session,m5_vol_zero,m5_na_%,consistency_1m_to_5m,price_mismatch,vol_mismatch
PEGE.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,140,2025-08-13 09:06:00,"Open,High,Low,Close,Volume",True,0,31,38,0.0,108,2025-08-08 09:00:00,"Open,High,Low,Close,Volume",True,0,27,12,0.0,NO_OVERLAP,,
KOIN.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,60,0.0,8,2025-08-13 09:00:00,"Open,High,Low,Close,Volume",True,0,4,3,0.0,3,2025-08-08 09:10:00,"Open,High,Low,Close,Volume",True,0,2,1,0.0,NO_OVERLAP,,
ASPR.JK,25,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,632,2025-08-13 09:11:00,"Open,High,Low,Close,Volume",True,0,158,122,0.0,173,2025-08-08 09:15:00,"Open,High,Low,Close,Volume",True,0,50,0,0.0,NO_OVERLAP,,
BLTA.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,0,,,True,0,0,0,,0,,,True,0,0,0,,,,
CTBN.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,6,0.0,15,2025-08-13 09:02:00,"Open,High,Low,Close,Volume",True,0,7,2,0.0,7,2025-08-07 09:00:00,"Open,High,Low,Close,Volume",True,0,3,2,0.0,NO_OVERLAP,,
BYAN.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,102,2025-08-13 09:00:00,"Open,High,Low,Close,Volume",True,0,28,18,0.0,80,2025-08-08 09:00:00,"Open,High,Low,Close,Volume",True,0,24,8,0.0,NO_OVERLAP,,
ESSA.JK,102,2025-08-13 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.49,728,2025-08-13 09:12:00,"Open,High,Low,Close,Volume",True,0,189,130,0.0,591,2025-08-13 10:20:00,"Open,High,Low,Close,Volume",True,0,450,0,0.0,MISMATCH,True,True
BIKA.JK,99,2025-08-08 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,99,0.0,0,,,True,0,0,0,,0,,,True,0,0,0,,,,
SIMA.JK,99,2025-08-08 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,99,0.0,0,,,True,0,0,0,,0,,,True,0,0,0,,,,
RUNS.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,182,2025-08-13 09:06:00,"Open,High,Low,Close,Volume",True,0,55,43,0.0,127,2025-08-08 08:45:00,"Open,High,Low,Close,Volume",True,0,28,0,0.0,NO_OVERLAP,,
