ticker,gran,price,prob_ara_tomorrow,prob_ara_tomorrow_adj,ara_target_pct,day_roc,prox,rvol60,cr,obv_up,virgin_hint,regime_score
NZIA.JK,1m,104.0,72.1,72.1,35.0,0.0,0.0,2.24,1.0,True,False,0.5
MAPA.JK,1m,680.0,71.8,71.8,25.0,0.0149,0.06,1.94,1.0,True,False,0.5
KOKA.JK,1m,101.0,71.8,71.8,35.0,-0.0472,0.0,2.21,1.0,True,False,0.5
FUJI.JK,1m,430.0,71.3,71.3,25.0,0.0488,0.195,1.26,1.0,True,False,0.5
KLBF.JK,1m,1400.0,71.2,71.2,25.0,0.0145,0.058,1.86,1.0,True,False,0.5
ISSP.JK,1m,392.0,71.1,71.1,25.0,0.0,0.0,2.1,1.0,True,False,0.5
MDKA.JK,1m,2280.0,70.7,70.7,25.0,-0.013,0.0,2.04,1.0,True,False,0.5
MYOR.JK,1m,2200.0,70.5,70.5,25.0,-0.0045,0.0,2.02,1.0,True,False,0.5
PRIM.JK,1m,66.0,70.2,70.2,35.0,0.0312,0.089,1.56,1.0,True,False,0.5
ASGR.JK,1m,1090.0,69.8,69.8,25.0,0.0283,0.113,1.4,1.0,True,False,0.5
PNGO.JK,1m,2450.0,69.7,69.7,25.0,-0.0278,0.0,1.89,1.0,True,False,0.5
CYBR.JK,1m,1050.0,69.7,69.7,25.0,0.0396,0.158,1.19,1.0,True,False,0.5
UDNG.JK,1m,1600.0,69.5,69.5,25.0,0.0997,0.399,2.48,1.0,False,False,0.5
INRU.JK,1m,925.0,69.5,69.5,25.0,0.0632,0.253,0.74,1.0,True,False,0.5
MAXI.JK,1m,56.0,69.4,69.4,35.0,0.098,0.28,12.94,1.0,False,False,0.5
DIVA.JK,1m,110.0,69.3,69.3,35.0,0.0,0.0,1.84,1.0,True,False,0.5
MEDC.JK,1m,1260.0,69.2,69.2,25.0,0.0286,0.114,1.32,1.0,True,False,0.5
POWR.JK,1m,705.0,69.0,69.0,25.0,0.0,0.0,1.8,1.0,True,False,0.5
RCCC.JK,1m,129.0,68.9,68.9,35.0,0.075,0.214,1.42,1.0,False,True,0.5
MPRO.JK,1m,3150.0,68.8,68.8,25.0,0.0194,0.078,1.43,1.0,True,False,0.5
MKTR.JK,1m,108.0,68.6,68.6,35.0,0.0,0.0,1.75,1.0,True,False,0.5
INTP.JK,1m,6450.0,68.5,68.5,20.0,-0.0077,0.0,1.73,1.0,True,False,0.5
EXCL.JK,1m,2910.0,68.5,68.5,25.0,0.0139,0.056,1.48,1.0,True,False,0.5
FUTR.JK,1m,158.0,68.5,68.5,35.0,0.0748,0.214,0.77,1.0,True,False,0.5
MSTI.JK,1m,1655.0,68.4,68.4,25.0,-0.003,0.0,1.72,1.0,True,False,0.5
HGII.JK,1m,146.0,68.2,68.2,35.0,0.0069,0.02,1.59,1.0,True,False,0.5
SEMA.JK,1m,90.0,68.0,68.0,35.0,-0.0323,0.0,1.66,1.0,True,False,0.5
UVCR.JK,1m,74.0,68.0,68.0,35.0,0.0423,0.121,1.12,1.0,True,False,0.5
DATA.JK,1m,1920.0,67.9,67.9,25.0,-0.0129,0.0,1.64,1.0,True,False,0.5
BOGA.JK,1m,600.0,67.9,67.9,25.0,-0.0083,0.0,1.65,1.0,True,False,0.5
MLIA.JK,1m,328.0,67.9,67.9,25.0,0.0061,0.025,1.54,1.0,True,False,0.5
MTEL.JK,1m,650.0,67.8,67.8,25.0,-0.0152,0.0,1.63,1.0,True,False,0.5
AGAR.JK,1m,246.0,67.8,67.8,25.0,0.0165,0.066,1.34,1.0,True,False,0.5
GOTO.JK,1m,64.0,67.8,67.8,35.0,-0.0448,0.0,1.63,1.0,True,False,0.5
AUTO.JK,1m,2310.0,67.5,67.5,25.0,0.0548,0.219,5.41,1.0,False,False,0.5
INDF.JK,1m,8025.0,67.4,67.4,20.0,-0.0031,0.0,1.58,1.0,True,False,0.5
BUAH.JK,1m,1325.0,67.3,67.3,25.0,-0.0038,0.0,1.57,1.0,True,False,0.5
WINE.JK,1m,214.0,67.3,67.3,25.0,0.0094,0.038,1.39,1.0,True,False,0.5
TRUK.JK,1m,158.0,67.3,67.3,35.0,0.0748,0.214,8.13,1.0,False,False,0.5
ERTX.JK,1m,102.0,67.3,67.3,35.0,0.0099,0.028,1.44,1.0,True,False,0.5
