ticker,gran,price,prob_ara_today,prob_ara_today_adj,ara_target_pct,day_roc,prox,coverage,rvol30,cr,breakout,mleft,regime_score
PSDN.JK,1m,86.0,54.1,54.1,35.0,0.0361,0.103,0.0,5.61,1.0,False,0,0.5
TINS.JK,1m,1040.0,53.9,53.9,25.0,0.0297,0.119,0.0,2.92,1.0,False,0,0.5
DILD.JK,1m,137.0,53.5,53.5,35.0,0.0301,0.086,0.003,5.45,1.0,False,0,0.5
OILS.JK,1m,140.0,53.4,53.4,35.0,0.037,0.106,0.0,2.91,1.0,False,0,0.5
MAPI.JK,1m,1250.0,53.2,53.2,25.0,0.0331,0.132,0.001,2.78,1.0,False,0,0.5
TRIS.JK,1m,188.0,53.2,53.2,35.0,0.0273,0.078,0.003,6.72,1.0,False,0,0.5
KJEN.JK,1m,109.0,53.2,53.2,35.0,0.0283,0.081,0.0,3.56,1.0,False,0,0.5
BPFI.JK,1m,336.0,52.9,52.9,25.0,0.0182,0.073,0.0,11.44,1.0,False,0,0.5
GUNA.JK,1m,244.0,52.7,52.7,25.0,0.0167,0.067,0.0,3.09,1.0,False,0,0.5
AALI.JK,1m,7150.0,52.6,52.6,20.0,0.0142,0.071,0.001,2.97,1.0,False,0,0.5
HOMI.JK,1m,200.0,52.4,52.4,25.0,0.0152,0.061,0.0,3.44,1.0,False,0,0.5
IKAN.JK,1m,147.0,52.3,52.3,35.0,0.1395,0.399,0.004,1.62,1.0,False,0,0.5
ITMA.JK,1m,765.0,52.2,52.2,25.0,0.0132,0.053,0.004,36.55,1.0,False,0,0.5
BSBK.JK,1m,53.0,52.2,52.2,35.0,0.0392,0.112,0.0,2.77,1.0,False,0,0.5
KDSI.JK,1m,474.0,52.1,52.1,25.0,0.0085,0.034,0.021,11.76,1.0,False,9,0.5
PSAT.JK,1m,1600.0,52.0,52.0,25.0,0.0127,0.051,0.0,4.35,1.0,False,0,0.5
SMIL.JK,1m,386.0,51.8,51.8,25.0,0.0158,0.063,0.0,2.93,1.0,False,0,0.5
JMAS.JK,1m,148.0,51.6,51.6,35.0,0.0137,0.039,0.0,4.35,1.0,False,0,0.5
JKON.JK,1m,99.0,51.2,51.2,35.0,0.0102,0.029,0.0,3.18,1.0,False,0,0.5
JRPT.JK,1m,750.0,51.1,51.1,25.0,0.0067,0.027,0.002,4.14,1.0,False,0,0.5
LABS.JK,1m,139.0,50.7,50.7,35.0,0.0072,0.021,0.0,2.99,1.0,False,0,0.5
ALDO.JK,1m,498.0,50.6,50.6,25.0,0.004,0.016,0.0,12.51,1.0,False,0,0.5
FLMC.JK,1m,71.0,50.5,50.5,35.0,0.0923,0.264,0.0,1.99,1.0,False,0,0.5
PWON.JK,1m,390.0,50.4,50.4,25.0,0.0104,0.041,0.0,2.87,1.0,False,0,0.5
INTP.JK,1m,6450.0,50.2,50.2,20.0,-0.0077,0.0,0.006,4.39,1.0,False,0,0.5
CSMI.JK,1m,412.0,50.1,50.1,25.0,-0.0096,0.0,0.003,29.31,1.0,False,0,0.5
HILL.JK,1m,206.0,50.1,50.1,25.0,0.0,0.0,0.003,14.93,1.0,False,0,0.5
TNCA.JK,1m,183.0,50.1,50.1,35.0,-0.0941,0.0,0.002,4.69,1.0,False,0,0.5
GPRA.JK,1m,148.0,50.1,50.1,35.0,-0.039,0.0,0.002,3.33,1.0,False,0,0.5
PPRE.JK,1m,118.0,50.1,50.1,35.0,-0.1061,0.0,0.004,17.39,1.0,False,0,0.5
KICI.JK,1m,116.0,50.1,50.1,35.0,0.0,0.0,0.002,4.21,1.0,False,0,0.5
PEGE.JK,1m,115.0,50.1,50.1,35.0,-0.0171,0.0,0.002,4.9,1.0,False,0,0.5
BYAN.JK,1m,18300.0,50.0,50.0,20.0,0.0,0.0,0.0,3.07,1.0,False,0,0.5
DNET.JK,1m,9375.0,50.0,50.0,20.0,-0.0132,0.0,0.0,3.93,1.0,False,0,0.5
MEGA.JK,1m,3290.0,50.0,50.0,25.0,-0.015,0.0,0.0,5.7,1.0,False,0,0.5
RAJA.JK,1m,2970.0,50.0,50.0,25.0,-0.045,0.0,0.0,3.13,1.0,False,0,0.5
SGRO.JK,1m,2960.0,50.0,50.0,25.0,-0.01,0.0,0.0,6.3,1.0,False,0,0.5
TCID.JK,1m,2450.0,50.0,50.0,25.0,-0.02,0.0,0.0,6.57,1.0,False,0,0.5
ISAT.JK,1m,2260.0,50.0,50.0,25.0,-0.0259,0.0,0.0,4.81,1.0,False,0,0.5
DLTA.JK,1m,1990.0,50.0,50.0,25.0,-0.0149,0.0,0.0,5.13,1.0,False,0,0.5
ANJT.JK,1m,1750.0,50.0,50.0,25.0,-0.0057,0.0,0.0,9.38,1.0,False,0,0.5
ASSA.JK,1m,905.0,50.0,50.0,25.0,-0.0573,0.0,0.0,3.13,1.0,False,0,0.5
BUKK.JK,1m,825.0,50.0,50.0,25.0,0.0,0.0,0.0,3.74,1.0,False,0,0.5
AMOR.JK,1m,505.0,50.0,50.0,25.0,0.0,0.0,0.0,9.83,1.0,False,0,0.5
MICE.JK,1m,496.0,50.0,50.0,25.0,-0.0178,0.0,0.0,4.77,1.0,False,0,0.5
HERO.JK,1m,406.0,50.0,50.0,25.0,-0.0098,0.0,0.0,5.49,1.0,False,0,0.5
BLUE.JK,1m,312.0,50.0,50.0,25.0,-0.0064,0.0,0.0,3.93,1.0,False,0,0.5
ARII.JK,1m,262.0,50.0,50.0,25.0,-0.0076,0.0,0.0,3.82,1.0,False,0,0.5
NIKL.JK,1m,234.0,50.0,50.0,25.0,-0.025,0.0,0.0,3.11,1.0,False,0,0.5
SAFE.JK,1m,204.0,50.0,50.0,25.0,0.0,0.0,0.0,8.96,1.0,False,0,0.5
PZZA.JK,1m,188.0,50.0,50.0,35.0,0.0,0.0,0.001,4.79,1.0,False,0,0.5
BOBA.JK,1m,185.0,50.0,50.0,35.0,-0.0107,0.0,0.0,3.33,1.0,False,0,0.5
UFOE.JK,1m,171.0,50.0,50.0,35.0,-0.0058,0.0,0.001,10.54,1.0,False,0,0.5
ZYRX.JK,1m,162.0,50.0,50.0,35.0,-0.0357,0.0,0.0,3.86,1.0,False,0,0.5
DOOH.JK,1m,146.0,50.0,50.0,35.0,-0.0759,0.0,0.0,3.74,1.0,False,0,0.5
VISI.JK,1m,138.0,50.0,50.0,35.0,-0.0143,0.0,0.0,6.68,1.0,False,0,0.5
URBN.JK,1m,129.0,50.0,50.0,35.0,-0.0227,0.0,0.0,4.31,1.0,False,0,0.5
TYRE.JK,1m,127.0,50.0,50.0,35.0,0.0,0.0,0.0,3.01,1.0,False,0,0.5
PPGL.JK,1m,108.0,50.0,50.0,35.0,-0.0092,0.0,0.0,4.3,1.0,False,0,0.5
BSML.JK,1m,105.0,50.0,50.0,35.0,-0.0094,0.0,0.0,3.4,1.0,False,0,0.5
APLN.JK,1m,105.0,50.0,50.0,35.0,0.0,0.0,0.0,4.65,1.0,False,0,0.5
TRIN.JK,1m,99.0,50.0,50.0,35.0,-0.0198,0.0,0.0,9.43,1.0,False,0,0.5
TRON.JK,1m,98.0,50.0,50.0,35.0,-0.0101,0.0,0.0,3.25,1.0,False,0,0.5
PIPA.JK,1m,87.0,50.0,50.0,35.0,-0.13,0.0,0.0,3.95,1.0,False,0,0.5
