kind,detail
empty,MINA.JK
empty,LABA.JK
empty,CBRE.JK
empty,PTMR.JK
empty,COCO.JK
empty,PMMP.JK
empty,IRSX.JK
empty,HOPE.JK
empty,ASLI.JK
empty,ZBRA.JK
empty,ABDA.JK
empty,BSWD.JK
empty,PGJO.JK
empty,ROCK.JK
empty,TFCO.JK
empty,TGUK.JK
other,BRPT.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BRPT.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PTRO.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PTRO.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ASII.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ASII.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,DSSA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,DSSA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CUAN.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,CUAN.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MDKA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MDKA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ADRO.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,ADRO.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,WIFI.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,WIFI.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PGEO.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PGEO.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PANI.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,PANI.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MBMA.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,MBMA.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BRIS.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,BRIS.JK: 5M Invalid comparison between dtype=datetime64[ns] and Timestamp
other,AADI.JK: 1M Invalid comparison between dtype=datetime64[ns] and Timestamp
