ticker,daily_rows,daily_last,daily_age_days,daily_cols,daily_monotonic,daily_dups,daily_vol_zero,daily_na_%,m1_rows,m1_last,m1_cols,m1_monotonic,m1_dups,m1_outside_session,m1_vol_zero,m1_na_%,m5_rows,m5_last,m5_cols,m5_monotonic,m5_dups,m5_outside_session,m5_vol_zero,m5_na_%,consistency_1m_to_5m,price_mismatch,vol_mismatch
IRRA.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,84,2025-08-13 09:08:00,"Open,High,Low,Close,Volume",True,0,25,19,0.0,110,2025-08-12 06:40:00,"Open,High,Low,Close,Volume",True,0,35,11,0.0,NO_OVERLAP,,
INPC.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,230,2025-08-13 09:13:00,"Open,High,Low,Close,Volume",True,0,73,47,0.0,164,2025-08-12 06:40:00,"Open,High,Low,Close,Volume",True,0,44,0,0.0,NO_OVERLAP,,
BRPT.JK,1,2025-08-14 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,792,2025-08-15 09:09:00,"Open,High,Low,Close,Adj Close,Volume",True,0,216,16,0.0,372,2025-08-15 08:40:00,"Open,High,Low,Close,Adj Close,Volume",True,0,98,6,0.0,MISMATCH,True,True
SMAR.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,51,2025-08-13 08:23:00,"Open,High,Low,Close,Volume",True,0,12,10,0.0,130,2025-08-12 07:00:00,"Open,High,Low,Close,Volume",True,0,34,21,0.0,NO_OVERLAP,,
MKNT.JK,99,2025-08-08 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,99,0.0,0,,,True,0,0,0,,0,,,True,0,0,0,,,,
DNAR.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,163,2025-08-13 09:00:00,"Open,High,Low,Close,Volume",True,0,62,30,0.0,124,2025-08-12 06:55:00,"Open,High,Low,Close,Volume",True,0,33,8,0.0,NO_OVERLAP,,
MKTR.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,48,2025-08-13 09:10:00,"Open,High,Low,Close,Volume",True,0,14,10,0.0,87,2025-08-12 07:20:00,"Open,High,Low,Close,Volume",True,0,22,12,0.0,NO_OVERLAP,,
PANS.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,0,,,True,0,0,0,,0,,,True,0,0,0,,,,
INTD.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,21,2025-08-13 09:03:00,"Open,High,Low,Close,Volume",True,0,10,1,0.0,37,2025-08-12 07:05:00,"Open,High,Low,Close,Volume",True,0,14,3,0.0,NO_OVERLAP,,
GEMS.JK,100,2025-08-11 00:00:00,,"Open,High,Low,Close,Adj Close,Volume",True,0,0,0.0,130,2025-08-13 08:49:00,"Open,High,Low,Close,Volume",True,0,38,23,0.0,154,2025-08-12 06:40:00,"Open,High,Low,Close,Volume",True,0,41,8,0.0,NO_OVERLAP,,
