Datetime,Open,High,Low,Close,Volume
2025-08-05 09:00:00,575.0,585.0,570.0,575.0,0
2025-08-05 09:05:00,575.0,575.0,570.0,575.0,1950800
2025-08-05 09:10:00,575.0,575.0,565.0,565.0,584500
2025-08-05 09:15:00,565.0,590.0,565.0,590.0,10259900
2025-08-05 09:20:00,585.0,600.0,585.0,595.0,20397100
2025-08-05 09:25:00,590.0,595.0,585.0,590.0,8088000
2025-08-05 09:30:00,595.0,595.0,585.0,585.0,2515400
2025-08-05 09:35:00,590.0,590.0,585.0,585.0,3807300
2025-08-05 09:40:00,585.0,590.0,585.0,585.0,880900
2025-08-05 09:45:00,590.0,595.0,585.0,595.0,3134900
2025-08-05 09:50:00,595.0,595.0,590.0,595.0,1056900
2025-08-05 09:55:00,590.0,600.0,590.0,595.0,12902300
2025-08-05 10:00:00,595.0,600.0,590.0,595.0,3412500
2025-08-05 10:05:00,595.0,595.0,590.0,595.0,1744500
2025-08-05 10:10:00,595.0,595.0,590.0,595.0,254700
2025-08-05 10:15:00,595.0,595.0,585.0,585.0,4473300
2025-08-05 10:20:00,590.0,590.0,585.0,590.0,1701200
2025-08-05 10:25:00,590.0,590.0,585.0,585.0,558200
2025-08-05 10:30:00,590.0,590.0,580.0,580.0,1515100
2025-08-05 10:35:00,580.0,585.0,580.0,585.0,177700
2025-08-05 10:40:00,585.0,585.0,580.0,580.0,1658100
2025-08-05 10:45:00,580.0,590.0,580.0,585.0,3015700
2025-08-05 10:50:00,585.0,590.0,585.0,590.0,67100
2025-08-05 10:55:00,590.0,590.0,585.0,590.0,191100
2025-08-05 11:00:00,585.0,590.0,585.0,585.0,509000
2025-08-05 11:05:00,585.0,590.0,585.0,585.0,1064400
2025-08-05 11:10:00,585.0,590.0,585.0,590.0,535600
2025-08-05 11:15:00,585.0,590.0,585.0,585.0,368500
2025-08-05 11:20:00,585.0,590.0,585.0,590.0,220600
2025-08-05 11:25:00,585.0,595.0,585.0,595.0,2406800
2025-08-05 11:30:00,595.0,595.0,590.0,595.0,435600
2025-08-05 11:35:00,590.0,595.0,585.0,585.0,1533500
2025-08-05 11:40:00,585.0,590.0,585.0,585.0,161200
2025-08-05 11:45:00,585.0,590.0,585.0,585.0,346500
2025-08-05 11:50:00,585.0,590.0,585.0,585.0,410700
2025-08-05 11:55:00,585.0,590.0,585.0,590.0,553100
2025-08-05 13:30:00,585.0,595.0,585.0,590.0,2793300
2025-08-05 13:35:00,590.0,595.0,590.0,595.0,354100
2025-08-05 13:40:00,590.0,595.0,590.0,590.0,410000
2025-08-05 13:45:00,595.0,595.0,590.0,590.0,514200
2025-08-05 13:50:00,590.0,595.0,590.0,595.0,434400
2025-08-05 13:55:00,590.0,595.0,590.0,590.0,1297900
2025-08-05 14:00:00,590.0,595.0,590.0,590.0,668500
2025-08-05 14:05:00,590.0,595.0,590.0,595.0,268600
2025-08-05 14:10:00,590.0,595.0,590.0,590.0,698900
2025-08-05 14:15:00,590.0,595.0,590.0,590.0,309800
2025-08-05 14:20:00,595.0,595.0,585.0,595.0,3823100
2025-08-05 14:25:00,595.0,595.0,590.0,590.0,1031700
2025-08-05 14:30:00,590.0,595.0,585.0,590.0,3281600
2025-08-05 14:35:00,590.0,595.0,590.0,595.0,682000
2025-08-05 14:40:00,590.0,595.0,590.0,590.0,998800
2025-08-05 14:45:00,590.0,595.0,590.0,595.0,336000
2025-08-05 14:50:00,595.0,595.0,585.0,585.0,2741300
2025-08-05 14:55:00,585.0,595.0,585.0,590.0,981700
2025-08-05 15:00:00,590.0,595.0,590.0,590.0,2734300
2025-08-05 15:05:00,590.0,595.0,590.0,590.0,1350300
2025-08-05 15:10:00,590.0,595.0,590.0,590.0,605300
2025-08-05 15:15:00,590.0,595.0,590.0,590.0,1432900
2025-08-05 15:20:00,590.0,595.0,590.0,590.0,1386600
2025-08-05 15:25:00,590.0,595.0,590.0,590.0,1678400
2025-08-05 15:30:00,590.0,595.0,590.0,595.0,1063800
2025-08-05 15:35:00,595.0,595.0,590.0,595.0,674700
2025-08-05 15:40:00,595.0,595.0,590.0,595.0,1269100
2025-08-05 15:45:00,595.0,595.0,590.0,595.0,2436500
2025-08-05 16:00:00,595.0,595.0,595.0,595.0,12991600
2025-08-05 16:05:00,595.0,595.0,595.0,595.0,1611700
2025-08-05 16:10:00,595.0,595.0,595.0,595.0,2500
2025-08-06 09:00:00,605.0,610.0,595.0,605.0,0
2025-08-06 09:05:00,600.0,605.0,600.0,605.0,1712700
2025-08-06 09:10:00,605.0,630.0,600.0,625.0,57368600
2025-08-06 09:15:00,625.0,625.0,590.0,605.0,29705900
2025-08-06 09:20:00,600.0,605.0,585.0,600.0,16235600
