Datetime,Open,High,Low,Close,Volume
2025-08-05 09:00:00,765.0,770.0,765.0,770.0,0
2025-08-05 09:05:00,770.0,770.0,770.0,770.0,1000
2025-08-05 09:10:00,760.0,760.0,760.0,760.0,25400
2025-08-05 09:15:00,760.0,765.0,760.0,765.0,8049700
2025-08-05 09:20:00,765.0,770.0,760.0,765.0,27260900
2025-08-05 09:25:00,765.0,775.0,760.0,770.0,3167800
2025-08-05 09:30:00,770.0,775.0,770.0,770.0,195400
2025-08-05 09:35:00,770.0,770.0,770.0,770.0,0
2025-08-05 09:40:00,765.0,765.0,765.0,765.0,91400
2025-08-05 09:45:00,770.0,770.0,765.0,765.0,16700
2025-08-05 09:50:00,765.0,770.0,765.0,770.0,578900
2025-08-05 09:55:00,765.0,765.0,765.0,765.0,200
2025-08-05 10:00:00,765.0,765.0,765.0,765.0,17400
2025-08-05 10:05:00,765.0,765.0,765.0,765.0,500
2025-08-05 10:15:00,770.0,770.0,770.0,770.0,100
2025-08-05 10:20:00,770.0,770.0,770.0,770.0,600
2025-08-05 10:25:00,765.0,765.0,765.0,765.0,100
2025-08-05 10:30:00,770.0,770.0,765.0,765.0,600
2025-08-05 10:40:00,770.0,770.0,765.0,765.0,3900
2025-08-05 10:55:00,765.0,765.0,765.0,765.0,10900
2025-08-05 11:05:00,770.0,770.0,770.0,770.0,200
2025-08-05 11:10:00,770.0,770.0,770.0,770.0,9900
2025-08-05 11:15:00,770.0,770.0,770.0,770.0,5000
2025-08-05 11:20:00,770.0,770.0,770.0,770.0,4200
2025-08-05 11:25:00,770.0,770.0,765.0,765.0,40400
2025-08-05 11:30:00,770.0,770.0,770.0,770.0,0
2025-08-05 11:40:00,765.0,765.0,765.0,765.0,1600
2025-08-05 11:45:00,765.0,770.0,765.0,770.0,3807200
2025-08-05 11:55:00,765.0,765.0,765.0,765.0,600
2025-08-05 13:30:00,770.0,810.0,770.0,805.0,21001700
2025-08-05 13:35:00,810.0,815.0,805.0,810.0,643800
2025-08-05 13:40:00,815.0,815.0,785.0,785.0,17430400
2025-08-05 13:45:00,790.0,805.0,785.0,795.0,5277200
2025-08-05 13:50:00,790.0,790.0,780.0,780.0,682300
2025-08-05 13:55:00,790.0,790.0,790.0,790.0,10700
2025-08-05 14:00:00,785.0,785.0,785.0,785.0,36700
2025-08-05 14:10:00,785.0,790.0,785.0,785.0,3700
2025-08-05 14:15:00,785.0,785.0,780.0,780.0,426400
2025-08-05 14:20:00,775.0,785.0,775.0,785.0,505700
2025-08-05 14:30:00,785.0,785.0,775.0,785.0,45700
2025-08-05 14:35:00,775.0,775.0,770.0,775.0,356800
