[2025-08-23 18:31:49 WIB] START python3 service/idx-fetch-daily.py
[18:32:35] python3 service/idx-fetch-daily.py | ✅ AKKU.JK | base=729 fresh=5 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/AKKU.JK.csv
[18:32:35] python3 service/idx-fetch-daily.py | ✅ AKPI.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/AKPI.JK.csv
[18:32:35] python3 service/idx-fetch-daily.py | ✅ AKRA.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/AKRA.JK.csv
[18:32:35] python3 service/idx-fetch-daily.py | ✅ AKSI.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/AKSI.JK.csv
[18:32:35] python3 service/idx-fetch-daily.py | ✅ ALDO.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ALDO.JK.csv
[18:32:35] python3 service/idx-fetch-daily.py | ✅ ALII.JK | base=357 fresh=4 out=358 | 2024-02-07 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ALII.JK.csv
[18:32:35] python3 service/idx-fetch-daily.py | ✅ ALKA.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ALKA.JK.csv
[18:32:35] python3 service/idx-fetch-daily.py | ✅ ALMI.JK | base=729 fresh=5 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ALMI.JK.csv
[18:32:35] python3 service/idx-fetch-daily.py | ✅ ALTO.JK | base=729 fresh=5 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ALTO.JK.csv
[18:32:35] python3 service/idx-fetch-daily.py | ✅ AMAG.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/AMAG.JK.csv
[18:32:35] python3 service/idx-fetch-daily.py | ✅ AMAN.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/AMAN.JK.csv
[18:32:35] python3 service/idx-fetch-daily.py | ✅ AMAR.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/AMAR.JK.csv
[18:32:35] python3 service/idx-fetch-daily.py | ✅ AMFG.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/AMFG.JK.csv
[18:32:35] python3 service/idx-fetch-daily.py | ✅ AMIN.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/AMIN.JK.csv
[18:32:35] python3 service/idx-fetch-daily.py | ✅ AMMN.JK | base=504 fresh=4 out=505 | 2023-07-07 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/AMMN.JK.csv
[18:32:35] python3 service/idx-fetch-daily.py | ✅ AMMS.JK | base=728 fresh=4 out=729 | 2022-08-04 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/AMMS.JK.csv
[18:32:35] python3 service/idx-fetch-daily.py | ✅ AMOR.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/AMOR.JK.csv
[18:32:35] python3 service/idx-fetch-daily.py | ✅ AMRT.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/AMRT.JK.csv
[18:32:35] python3 service/idx-fetch-daily.py | ✅ ANDI.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ANDI.JK.csv
[18:32:35] python3 service/idx-fetch-daily.py | ✅ ANJT.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ANJT.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ANTM.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ANTM.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ APEX.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/APEX.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ APIC.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/APIC.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ APII.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/APII.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ APLI.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/APLI.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ APLN.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/APLN.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ARCI.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ARCI.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ AREA.JK | base=325 fresh=4 out=326 | 2024-04-01 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/AREA.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ARGO.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ARGO.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ARII.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ARII.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ARKA.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ARKA.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ARKO.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ARKO.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ARMY.JK | base=729 fresh=5 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ARMY.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ARNA.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ARNA.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ARTA.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ARTA.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ARTI.JK | base=729 fresh=5 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ARTI.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ARTO.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ARTO.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ASBI.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ASBI.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ASDM.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ASDM.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ASGR.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ASGR.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ASHA.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ASHA.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ASII.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ASII.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ASJT.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ASJT.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ASLC.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ASLC.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ASLI.JK | base=379 fresh=5 out=381 | 2024-01-05 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ASLI.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ASMI.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ASMI.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ASPI.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ASPI.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ASPR.JK | base=32 fresh=4 out=33 | 2025-07-08 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ASPR.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ASRI.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ASRI.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ASRM.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ASRM.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ASSA.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ASSA.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ATAP.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ATAP.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ATIC.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ATIC.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ ATLA.JK | base=320 fresh=4 out=321 | 2024-04-16 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/ATLA.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ AUTO.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/AUTO.JK.csv
[18:32:42] python3 service/idx-fetch-daily.py | ✅ AVIA.JK | base=730 fresh=4 out=731 | 2022-08-02 07:00:00+07:00 … 2025-08-22 07:00:00+07:00 | wrote=True | file=/home/mkemalw/Projects/SSSAHAM_SERVICE/emiten/cache_daily/AVIA.JK.csv
