ticker,status,file,rows_before,rows_after,min_dt,max_dt,na_total,expected_per_day,last_day_coverage_pct,has_last_day
AISA.JK,OK,emiten/cache_1m/AISA.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,12648,411,53.77,True
AKPI.JK,OK,emiten/cache_1m/AKPI.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16956,411,2.92,True
AKRA.JK,OK,emiten/cache_1m/AKRA.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,6408,411,74.94,True
AKSI.JK,OK,emiten/cache_1m/AKSI.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16092,411,8.03,True
ALDO.JK,OK,emiten/cache_1m/ALDO.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16536,411,19.71,True
ALII.JK,OK,emiten/cache_1m/ALII.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,15666,411,9.0,True
ALKA.JK,OK,emiten/cache_1m/ALKA.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16116,411,20.19,True
AMAG.JK,OK,emiten/cache_1m/AMAG.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16776,411,4.62,True
AMAN.JK,OK,emiten/cache_1m/AMAN.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,13860,411,43.07,True
AMAR.JK,OK,emiten/cache_1m/AMAR.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,11838,411,44.04,True
AMFG.JK,OK,emiten/cache_1m/AMFG.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,15774,411,12.9,True
AMIN.JK,OK,emiten/cache_1m/AMIN.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,15954,411,8.52,True
AMMN.JK,OK,emiten/cache_1m/AMMN.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,6114,411,77.62,True
AMMS.JK,OK,emiten/cache_1m/AMMS.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,11610,411,45.74,True
AMOR.JK,OK,emiten/cache_1m/AMOR.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,15834,411,30.9,True
AMRT.JK,OK,emiten/cache_1m/AMRT.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,6600,411,75.43,True
ANJT.JK,OK,emiten/cache_1m/ANJT.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,15336,411,15.82,True
ANTM.JK,OK,emiten/cache_1m/ANTM.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,6120,411,77.62,True
APEX.JK,OK,emiten/cache_1m/APEX.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,9120,411,49.88,True
APIC.JK,OK,emiten/cache_1m/APIC.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,14724,411,26.52,True
APII.JK,OK,emiten/cache_1m/APII.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16614,411,2.68,True
APLI.JK,OK,emiten/cache_1m/APLI.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16428,411,24.09,True
APLN.JK,OK,emiten/cache_1m/APLN.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,9594,411,41.61,True
ARCI.JK,OK,emiten/cache_1m/ARCI.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,6642,411,72.99,True
AREA.JK,OK,emiten/cache_1m/AREA.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,12294,411,43.31,True
ARGO.JK,OK,emiten/cache_1m/ARGO.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,13272,411,56.69,True
ARII.JK,OK,emiten/cache_1m/ARII.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,15762,411,9.25,True
ARKO.JK,OK,emiten/cache_1m/ARKO.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,13758,411,41.85,True
ARNA.JK,OK,emiten/cache_1m/ARNA.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,12966,411,30.41,True
ARTA.JK,OK,emiten/cache_1m/ARTA.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,15048,411,11.68,True
ARTO.JK,OK,emiten/cache_1m/ARTO.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,6294,411,72.51,True
ASBI.JK,OK,emiten/cache_1m/ASBI.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16392,411,13.87,True
ASDM.JK,OK,emiten/cache_1m/ASDM.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16536,411,3.65,True
ASGR.JK,OK,emiten/cache_1m/ASGR.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,14040,411,34.55,True
ASII.JK,OK,emiten/cache_1m/ASII.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,6174,411,77.62,True
ASJT.JK,OK,emiten/cache_1m/ASJT.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16974,411,3.16,True
ASLC.JK,OK,emiten/cache_1m/ASLC.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,10320,411,77.62,True
ASLI.JK,OK,emiten/cache_1m/ASLI.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,17262,411,0.0,False
ASPI.JK,OK,emiten/cache_1m/ASPI.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,12414,411,45.5,True
ASPR.JK,OK,emiten/cache_1m/ASPR.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,8808,411,58.39,True
