ticker,status,wrote,rows_before,header_stripped,parsed_dt_invalid,cut_weekend,cut_session,rows_after_local,rows_yf,rows_final,range_min,range_max,dup_before,dup_after,removed_all_na_cols,file,error
ACES.JK,OK,True,1130,0,0,0,0,1130,1130,1130,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},,emiten/cache_1m/ACES.JK.csv,
AADI.JK,OK,True,721,0,0,0,11,0,1142,1142,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},Open,emiten/cache_1m/AADI.JK.csv,
ACRO.JK,OK,True,878,0,0,0,0,878,878,878,2025-08-13 09:01:00+07:00,2025-08-19 15:30:00+07:00,{},{},,emiten/cache_1m/ACRO.JK.csv,
ABDA.JK,OK,True,782,0,0,0,0,782,878,1070,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},,emiten/cache_1m/ABDA.JK.csv,
ADHI.JK,OK,True,223,0,0,0,7,0,1060,1060,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/ADHI.JK.csv,
AALI.JK,OK,True,782,0,0,0,0,782,1118,1118,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},,emiten/cache_1m/AALI.JK.csv,
ADMG.JK,OK,True,47,0,0,0,5,0,194,194,2025-08-13 09:05:00+07:00,2025-08-19 15:20:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/ADMG.JK.csv,
ADMF.JK,OK,True,130,0,0,0,0,130,302,302,2025-08-13 09:04:00+07:00,2025-08-19 15:25:00+07:00,{},{},,emiten/cache_1m/ADMF.JK.csv,
ACST.JK,OK,True,264,0,0,0,0,264,264,264,2025-08-13 09:00:00+07:00,2025-08-19 15:23:00+07:00,{},{},,emiten/cache_1m/ACST.JK.csv,
ADMR.JK,OK,True,234,0,0,0,16,0,1118,1118,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/ADMR.JK.csv,
ADRO.JK,OK,True,796,0,0,0,17,0,1142,1142,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},Open,emiten/cache_1m/ADRO.JK.csv,
AEGS.JK,OK,True,622,0,0,0,0,622,1142,1142,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},,emiten/cache_1m/AEGS.JK.csv,
AGII.JK,OK,True,213,0,0,0,0,213,213,213,2025-08-13 09:00:00+07:00,2025-08-19 15:23:00+07:00,{},{},,emiten/cache_1m/AGII.JK.csv,
ADCP.JK,OK,True,248,0,0,0,21,227,990,990,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},Adj Close,emiten/cache_1m/ADCP.JK.csv,
AGRO.JK,OK,True,218,0,0,0,12,0,1041,1041,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/AGRO.JK.csv,
AGRS.JK,OK,True,520,0,0,0,0,520,1082,1082,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},,emiten/cache_1m/AGRS.JK.csv,
AGAR.JK,OK,True,38,0,0,0,5,33,101,101,2025-08-13 09:01:00+07:00,2025-08-19 15:28:00+07:00,{},{},Adj Close,emiten/cache_1m/AGAR.JK.csv,
AISA.JK,OK,True,50,0,0,0,3,0,541,541,2025-08-13 09:01:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/AISA.JK.csv,
AKPI.JK,OK,True,6,0,0,0,4,0,28,28,2025-08-13 09:13:00+07:00,2025-08-19 14:38:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/AKPI.JK.csv,
AHAP.JK,OK,True,547,0,0,0,0,547,562,562,2025-08-13 09:00:00+07:00,2025-08-19 15:28:00+07:00,{},{},,emiten/cache_1m/AHAP.JK.csv,
AKSI.JK,OK,True,52,0,0,0,5,0,120,120,2025-08-13 09:07:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/AKSI.JK.csv,
AKRA.JK,OK,True,235,0,0,0,6,0,1122,1122,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/AKRA.JK.csv,
ALII.JK,OK,True,162,0,0,0,0,162,162,162,2025-08-13 09:00:00+07:00,2025-08-19 14:41:00+07:00,{},{},,emiten/cache_1m/ALII.JK.csv,
ALKA.JK,OK,True,108,0,0,0,0,108,256,256,2025-08-13 09:00:00+07:00,2025-08-19 15:27:00+07:00,{},{},,emiten/cache_1m/ALKA.JK.csv,
ADES.JK,OK,True,240,0,0,0,0,240,240,240,2025-08-13 09:01:00+07:00,2025-08-19 15:24:00+07:00,{},{},,emiten/cache_1m/ADES.JK.csv,
AMAG.JK,OK,True,52,0,0,0,0,52,278,278,2025-08-13 09:01:00+07:00,2025-08-19 15:24:00+07:00,{},{},,emiten/cache_1m/AMAG.JK.csv,
AIMS.JK,OK,True,4,0,0,0,1,0,13,13,2025-08-13 09:55:00+07:00,2025-08-19 14:55:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/AIMS.JK.csv,
ALDO.JK,OK,True,53,0,0,0,0,53,66,66,2025-08-13 09:55:00+07:00,2025-08-19 15:22:00+07:00,{},{},,emiten/cache_1m/ALDO.JK.csv,
ABMM.JK,OK,True,542,0,0,0,0,542,542,542,2025-08-13 09:01:00+07:00,2025-08-19 15:26:00+07:00,{},{},,emiten/cache_1m/ABMM.JK.csv,
AMIN.JK,OK,True,31,0,0,0,0,31,605,605,2025-08-13 09:00:00+07:00,2025-08-19 15:26:00+07:00,{},{},Adj Close,emiten/cache_1m/AMIN.JK.csv,
AMMS.JK,OK,True,599,0,0,0,0,599,599,599,2025-08-13 09:00:00+07:00,2025-08-19 15:29:00+07:00,{},{},,emiten/cache_1m/AMMS.JK.csv,
AMAN.JK,OK,True,35,0,0,0,5,0,758,758,2025-08-13 09:00:00+07:00,2025-08-19 15:29:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/AMAN.JK.csv,
AMMN.JK,OK,True,1142,0,0,0,0,1142,1142,1142,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},,emiten/cache_1m/AMMN.JK.csv,
ANJT.JK,OK,True,28,0,0,0,4,0,1142,1142,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/ANJT.JK.csv,
AMOR.JK,OK,True,81,0,0,0,0,81,81,81,2025-08-13 09:00:00+07:00,2025-08-19 15:19:00+07:00,{},{},,emiten/cache_1m/AMOR.JK.csv,
AMFG.JK,OK,True,82,0,0,0,10,72,253,253,2025-08-13 09:00:00+07:00,2025-08-19 15:25:00+07:00,{},{},Adj Close,emiten/cache_1m/AMFG.JK.csv,
APII.JK,OK,True,12,0,0,0,5,0,61,61,2025-08-13 09:02:00+07:00,2025-08-19 14:48:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/APII.JK.csv,
APIC.JK,OK,True,293,0,0,0,0,293,336,336,2025-08-13 09:02:00+07:00,2025-08-19 15:26:00+07:00,{},{},,emiten/cache_1m/APIC.JK.csv,
APLN.JK,OK,True,730,0,0,0,0,730,730,730,2025-08-13 09:00:00+07:00,2025-08-19 15:28:00+07:00,{},{},,emiten/cache_1m/APLN.JK.csv,
APLI.JK,OK,True,61,0,0,0,0,61,61,61,2025-08-13 09:04:00+07:00,2025-08-19 15:15:00+07:00,{},{},,emiten/cache_1m/APLI.JK.csv,
AMRT.JK,OK,True,715,0,0,0,16,0,1110,1110,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},Open,emiten/cache_1m/AMRT.JK.csv,
ARCI.JK,OK,True,217,0,0,0,9,0,1138,1138,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/ARCI.JK.csv,
ANTM.JK,OK,True,1941,2,0,0,195,1744,1141,2585,2025-08-06 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},Adj Close,emiten/cache_1m/ANTM.JK.csv,
AREA.JK,OK,True,646,0,0,0,0,646,1142,1142,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},,emiten/cache_1m/AREA.JK.csv,
