ticker,status,wrote,rows_before,header_stripped,parsed_dt_invalid,cut_weekend,cut_session,rows_after_local,rows_yf,rows_final,range_min,range_max,dup_before,dup_after,removed_all_na_cols,file,error
BELL.JK,OK,True,328,0,0,0,19,0,1093,1093,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BELL.JK.csv,
BBMD.JK,OK,True,3,0,0,0,2,0,14,14,2025-08-13 09:09:00+07:00,2025-08-19 14:21:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BBMD.JK.csv,
BEST.JK,OK,True,87,0,0,0,6,0,401,401,2025-08-13 09:02:00+07:00,2025-08-19 15:26:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BEST.JK.csv,
BINA.JK,OK,True,1,0,0,0,1,0,41,41,2025-08-13 09:57:00+07:00,2025-08-19 14:17:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BINA.JK.csv,
BGTG.JK,OK,True,129,0,0,0,5,0,880,880,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BGTG.JK.csv,
BCAP.JK,OK,True,184,0,0,0,9,0,1005,1005,2025-08-13 09:00:00+07:00,2025-08-19 15:29:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BCAP.JK.csv,
BHAT.JK,OK,True,22,0,0,0,4,0,1016,1016,2025-08-13 09:00:00+07:00,2025-08-19 15:29:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BHAT.JK.csv,
BINO.JK,OK,True,97,0,0,0,11,0,314,314,2025-08-13 09:06:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BINO.JK.csv,
BIRD.JK,OK,True,96,0,0,0,4,0,684,684,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BIRD.JK.csv,
BJTM.JK,OK,True,179,0,0,0,3,0,928,928,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BJTM.JK.csv,
BISI.JK,OK,True,27,0,0,0,5,0,985,985,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BISI.JK.csv,
BKSW.JK,OK,True,71,0,0,0,4,0,406,406,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BKSW.JK.csv,
BKSL.JK,OK,True,233,0,0,0,6,0,1129,1129,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BKSL.JK.csv,
BLES.JK,OK,True,67,0,0,0,4,0,439,439,2025-08-13 09:01:00+07:00,2025-08-19 15:29:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BLES.JK.csv,
BLOG.JK,OK,True,212,0,0,0,5,0,988,988,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BLOG.JK.csv,
BLTZ.JK,OK,True,0,0,0,0,0,0,1,1,2025-08-19 14:55:00+07:00,2025-08-19 14:55:00+07:00,{},{},"Open,High,Low,Close,Adj Close,Volume",emiten/cache_1m/BLTZ.JK.csv,
BJBR.JK,OK,True,189,0,0,0,4,0,752,752,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BJBR.JK.csv,
BMHS.JK,OK,True,81,0,0,0,4,0,334,334,2025-08-13 09:00:00+07:00,2025-08-19 15:22:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BMHS.JK.csv,
BFIN.JK,OK,True,186,0,0,0,6,0,961,961,2025-08-13 09:00:00+07:00,2025-08-19 15:29:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BFIN.JK.csv,
BIPI.JK,OK,True,170,0,0,0,6,0,820,820,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BIPI.JK.csv,
BLUE.JK,OK,True,45,0,0,0,7,0,846,846,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BLUE.JK.csv,
BMRI.JK,OK,True,2586,0,0,0,0,2586,1142,2586,2025-08-06 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},,emiten/cache_1m/BMRI.JK.csv,
BMSR.JK,OK,True,6,0,0,0,3,0,1142,1142,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BMSR.JK.csv,
BNGA.JK,OK,True,217,0,0,0,7,0,889,889,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BNGA.JK.csv,
BMTR.JK,OK,True,170,0,0,0,4,0,1076,1076,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BMTR.JK.csv,
BOAT.JK,OK,True,146,0,0,0,8,0,663,663,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BOAT.JK.csv,
BMAS.JK,OK,True,0,0,0,0,0,0,667,667,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,High,Low,Close,Adj Close,Volume",emiten/cache_1m/BMAS.JK.csv,
BIKE.JK,OK,True,59,0,0,0,5,0,639,639,2025-08-13 09:00:00+07:00,2025-08-19 15:27:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BIKE.JK.csv,
