ticker,max_dt
AADI.JK,2025-08-20 14:48:00+07:00
AALI.JK,2025-08-20 14:47:00+07:00
ABDA.JK,2025-08-19 15:50:00+07:00
ABMM.JK,2025-08-20 14:43:00+07:00
ACES.JK,2025-08-20 14:48:00+07:00
ACRO.JK,2025-08-20 14:44:00+07:00
ACST.JK,2025-08-20 14:47:00+07:00
ADCP.JK,2025-08-20 14:48:00+07:00
ADES.JK,2025-08-20 14:00:00+07:00
ADHI.JK,2025-08-20 14:47:00+07:00
ADMF.JK,2025-08-20 14:33:00+07:00
ADMG.JK,2025-08-20 14:37:00+07:00
ADMR.JK,2025-08-20 14:48:00+07:00
ADRO.JK,2025-08-20 14:48:00+07:00
AEGS.JK,2025-08-20 14:48:00+07:00
AGAR.JK,2025-08-20 14:46:00+07:00
AGII.JK,2025-08-20 14:32:00+07:00
AGRO.JK,2025-08-20 14:48:00+07:00
AGRS.JK,2025-08-20 14:47:00+07:00
AHAP.JK,2025-08-20 14:47:00+07:00
AIMS.JK,2025-08-20 11:55:00+07:00
AISA.JK,2025-08-20 14:44:00+07:00
AKPI.JK,2025-08-20 14:23:00+07:00
AKRA.JK,2025-08-20 14:48:00+07:00
AKSI.JK,2025-08-20 14:30:00+07:00
ALDO.JK,2025-08-20 14:32:00+07:00
ALII.JK,2025-08-20 14:45:00+07:00
ALKA.JK,2025-08-20 14:45:00+07:00
AMAG.JK,2025-08-20 14:24:00+07:00
AMAN.JK,2025-08-20 14:47:00+07:00
AMAR.JK,2025-08-20 14:48:00+07:00
AMFG.JK,2025-08-20 14:41:00+07:00
AMIN.JK,2025-08-20 14:48:00+07:00
AMMN.JK,2025-08-20 14:48:00+07:00
AMMS.JK,2025-08-20 14:46:00+07:00
AMOR.JK,2025-08-20 14:41:00+07:00
AMRT.JK,2025-08-20 14:48:00+07:00
ANJT.JK,2025-08-20 14:38:00+07:00
ANTM.JK,2025-08-20 14:48:00+07:00
APEX.JK,2025-08-20 14:47:00+07:00
APIC.JK,2025-08-20 14:45:00+07:00
APII.JK,2025-08-20 13:48:00+07:00
APLI.JK,2025-08-20 13:55:00+07:00
APLN.JK,2025-08-20 14:48:00+07:00
ARCI.JK,2025-08-20 14:48:00+07:00
AREA.JK,2025-08-20 14:44:00+07:00
ARGO.JK,2025-08-20 14:48:00+07:00
ARII.JK,2025-08-20 14:07:00+07:00
ARKO.JK,2025-08-20 14:47:00+07:00
ARNA.JK,2025-08-20 14:47:00+07:00
ARTA.JK,2025-08-20 14:40:00+07:00
ARTO.JK,2025-08-20 14:48:00+07:00
ASBI.JK,2025-08-20 14:35:00+07:00
ASDM.JK,2025-08-20 14:48:00+07:00
ASGR.JK,2025-08-20 14:48:00+07:00
ASII.JK,2025-08-20 14:48:00+07:00
ASJT.JK,2025-08-20 14:26:00+07:00
ASLC.JK,2025-08-20 14:48:00+07:00
ASLI.JK,2025-08-19 15:50:00+07:00
ASPI.JK,2025-08-20 14:46:00+07:00
ASPR.JK,2025-08-20 14:47:00+07:00
ASRI.JK,2025-08-20 14:48:00+07:00
ASRM.JK,2025-08-20 14:09:00+07:00
ASSA.JK,2025-08-20 14:48:00+07:00
ATIC.JK,2025-08-20 14:33:00+07:00
ATLA.JK,2025-08-20 14:48:00+07:00
AUTO.JK,2025-08-20 14:47:00+07:00
AVIA.JK,2025-08-20 14:48:00+07:00
AWAN.JK,2025-08-20 14:46:00+07:00
AXIO.JK,2025-08-20 14:46:00+07:00
AYAM.JK,2025-08-20 14:45:00+07:00
AYLS.JK,2025-08-20 14:48:00+07:00
BABP.JK,2025-08-20 14:48:00+07:00
BABY.JK,2025-08-20 14:46:00+07:00
BACA.JK,2025-08-20 14:41:00+07:00
BAIK.JK,2025-08-20 14:48:00+07:00
BAJA.JK,2025-08-20 14:43:00+07:00
BALI.JK,2025-08-20 14:07:00+07:00
BANK.JK,2025-08-20 14:46:00+07:00
BAPA.JK,2025-08-20 14:47:00+07:00
BATA.JK,2025-08-20 11:55:00+07:00
BATR.JK,2025-08-20 14:48:00+07:00
BAYU.JK,2025-08-20 14:41:00+07:00
BBCA.JK,2025-08-20 14:48:00+07:00
BBHI.JK,2025-08-20 14:48:00+07:00
BBKP.JK,2025-08-20 14:48:00+07:00
BBLD.JK,2025-08-20 14:48:00+07:00
BBMD.JK,2025-08-20 14:36:00+07:00
BBNI.JK,2025-08-20 14:48:00+07:00
BBRI.JK,2025-08-20 14:48:00+07:00
BBRM.JK,2025-08-20 14:43:00+07:00
BBSI.JK,2025-08-20 14:41:00+07:00
BBSS.JK,2025-08-20 14:44:00+07:00
BBTN.JK,2025-08-20 14:48:00+07:00
