ticker,status,wrote,rows_before,header_stripped,parsed_dt_invalid,cut_weekend,cut_session,rows_after_local,rows_yf,rows_final,range_min,range_max,dup_before,dup_after,removed_all_na_cols,file,error
CAKK.JK,OK,True,17,0,0,0,2,0,62,62,2025-08-13 09:02:00+07:00,2025-08-19 15:26:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CAKK.JK.csv,
CARE.JK,OK,True,80,0,0,0,8,0,466,466,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CARE.JK.csv,
CASH.JK,OK,True,75,0,0,0,5,0,223,223,2025-08-13 09:00:00+07:00,2025-08-19 15:27:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CASH.JK.csv,
CASA.JK,OK,True,32,0,0,0,5,0,423,423,2025-08-13 09:00:00+07:00,2025-08-19 15:27:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CASA.JK.csv,
CBPE.JK,OK,True,23,0,0,0,12,0,92,92,2025-08-13 09:05:00+07:00,2025-08-19 15:18:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CBPE.JK.csv,
CAMP.JK,OK,True,69,0,0,0,3,0,355,355,2025-08-13 09:00:00+07:00,2025-08-19 15:25:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CAMP.JK.csv,
CBUT.JK,OK,True,46,0,0,0,9,0,94,94,2025-08-13 09:00:00+07:00,2025-08-19 15:18:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CBUT.JK.csv,
CASS.JK,OK,True,29,0,0,0,7,0,283,283,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CASS.JK.csv,
CBRE.JK,OK,True,3,0,0,0,3,0,0,0,,,{},{},,emiten/cache_1m/CBRE.JK.csv,
CCSI.JK,OK,True,23,0,0,0,4,0,155,155,2025-08-13 09:01:00+07:00,2025-08-19 15:26:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CCSI.JK.csv,
CDIA.JK,OK,True,232,0,0,0,26,0,1142,1142,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CDIA.JK.csv,
CFIN.JK,OK,True,103,0,0,0,4,0,1142,1142,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CFIN.JK.csv,
CHEK.JK,OK,True,157,0,0,0,6,0,976,976,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CHEK.JK.csv,
CEKA.JK,OK,True,14,0,0,0,3,0,985,985,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CEKA.JK.csv,
CGAS.JK,OK,True,171,0,0,0,9,0,837,837,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CGAS.JK.csv,
CBDK.JK,OK,True,675,0,0,0,9,0,1106,1106,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},Open,emiten/cache_1m/CBDK.JK.csv,
CHEM.JK,OK,True,159,0,0,0,26,0,1093,1093,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CHEM.JK.csv,
CARS.JK,OK,True,106,0,0,0,6,0,1109,1109,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CARS.JK.csv,
CITY.JK,OK,True,122,0,0,0,4,0,685,685,2025-08-13 09:00:00+07:00,2025-08-19 15:28:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CITY.JK.csv,
CENT.JK,OK,True,62,0,0,0,5,0,898,898,2025-08-13 09:00:00+07:00,2025-08-19 15:28:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CENT.JK.csv,
CITA.JK,OK,True,19,0,0,0,4,0,307,307,2025-08-13 09:00:00+07:00,2025-08-19 15:28:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CITA.JK.csv,
CLPI.JK,OK,True,22,0,0,0,5,0,429,429,2025-08-13 09:00:00+07:00,2025-08-19 15:28:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CLPI.JK.csv,
CLAY.JK,OK,True,26,0,0,0,10,0,248,248,2025-08-13 09:01:00+07:00,2025-08-19 15:19:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CLAY.JK.csv,
CMNP.JK,OK,True,40,0,0,0,4,0,432,432,2025-08-13 09:01:00+07:00,2025-08-19 15:21:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CMNP.JK.csv,
CMRY.JK,OK,True,99,0,0,0,13,0,569,569,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CMRY.JK.csv,
CINT.JK,OK,True,22,0,0,0,3,0,752,752,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CINT.JK.csv,
CNKO.JK,OK,True,2,0,0,0,1,0,15,15,2025-08-13 09:55:00+07:00,2025-08-19 14:55:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CNKO.JK.csv,
CHIP.JK,OK,True,60,0,0,0,6,54,274,274,2025-08-13 09:00:00+07:00,2025-08-19 15:26:00+07:00,{},{},Adj Close,emiten/cache_1m/CHIP.JK.csv,
CLEO.JK,OK,True,178,0,0,0,4,0,937,937,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CLEO.JK.csv,
CMNT.JK,OK,True,136,0,0,0,5,0,1020,1020,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CMNT.JK.csv,
COIN.JK,OK,True,241,0,0,0,12,0,1141,1141,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/COIN.JK.csv,
CPIN.JK,OK,True,228,0,0,0,7,0,1142,1142,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CPIN.JK.csv,
CRSN.JK,OK,True,326,0,0,0,23,0,729,729,2025-08-13 09:00:00+07:00,2025-08-19 15:28:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CRSN.JK.csv,
CPRO.JK,OK,True,109,0,0,0,2,0,914,914,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CPRO.JK.csv,
CMPP.JK,OK,True,3,0,0,0,1,0,14,14,2025-08-13 09:55:00+07:00,2025-08-19 14:55:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/CMPP.JK.csv,
