ticker,status,rows_csv,rows_valid,dup_dt,out_of_session,weekend_rows,min_dt,max_dt,missing_cols,extra_cols,file,na_Open,na_High,na_Low,na_Close,na_Adj Close,na_Volume,error
AADI.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AADI.JK.csv,3,3,3,3,3,3,
AALI.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AALI.JK.csv,2,2,2,2,2,2,
ABDA.JK,OK,2877,2877,0,0,0,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ABDA.JK.csv,2877,2877,2877,2877,2877,2877,
ABMM.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ABMM.JK.csv,2,2,2,2,2,2,
ACES.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ACES.JK.csv,2,2,2,2,2,2,
ACRO.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ACRO.JK.csv,31,31,31,31,31,31,
ACST.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ACST.JK.csv,51,51,51,51,51,51,
ADCP.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ADCP.JK.csv,54,54,54,54,54,54,
ADES.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ADES.JK.csv,94,94,94,94,94,94,
ADHI.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ADHI.JK.csv,24,24,24,24,24,24,
ADMF.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ADMF.JK.csv,110,110,110,110,110,110,
ADMG.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ADMG.JK.csv,28,28,28,28,28,28,
ADMR.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ADMR.JK.csv,6,6,6,6,6,6,
ADRO.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ADRO.JK.csv,2,2,2,2,2,2,
AEGS.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AEGS.JK.csv,80,80,80,80,80,80,
AGAR.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AGAR.JK.csv,111,111,111,111,111,111,
AGII.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AGII.JK.csv,95,95,95,95,95,95,
AGRO.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AGRO.JK.csv,18,18,18,18,18,18,
AGRS.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AGRS.JK.csv,31,31,31,31,31,31,
AHAP.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AHAP.JK.csv,71,71,71,71,71,71,
AIMS.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AIMS.JK.csv,3,3,3,3,3,3,
AISA.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AISA.JK.csv,33,33,33,33,33,33,
AKPI.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AKPI.JK.csv,117,117,117,117,117,117,
AKRA.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AKRA.JK.csv,3,3,3,3,3,3,
AKSI.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AKSI.JK.csv,97,97,97,97,97,97,
ALDO.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ALDO.JK.csv,61,61,61,61,61,61,
ALII.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ALII.JK.csv,113,113,113,113,113,113,
ALKA.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ALKA.JK.csv,85,85,85,85,85,85,
AMAG.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AMAG.JK.csv,120,120,120,120,120,120,
AMAN.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AMAN.JK.csv,63,63,63,63,63,63,
AMAR.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AMAR.JK.csv,2,2,2,2,2,2,
AMFG.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AMFG.JK.csv,97,97,97,97,97,97,
AMIN.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AMIN.JK.csv,114,114,114,114,114,114,
AMMN.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AMMN.JK.csv,2,2,2,2,2,2,
AMMS.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AMMS.JK.csv,64,64,64,64,64,64,
AMOR.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AMOR.JK.csv,5,5,5,5,5,5,
AMRT.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AMRT.JK.csv,5,5,5,5,5,5,
ANJT.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ANJT.JK.csv,99,99,99,99,99,99,
ANTM.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ANTM.JK.csv,2,2,2,2,2,2,
APEX.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/APEX.JK.csv,52,52,52,52,52,52,
APIC.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/APIC.JK.csv,73,73,73,73,73,73,
APII.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/APII.JK.csv,118,118,118,118,118,118,
APLI.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/APLI.JK.csv,52,52,52,52,52,52,
APLN.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/APLN.JK.csv,57,57,57,57,57,57,
ARCI.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ARCI.JK.csv,3,3,3,3,3,3,
AREA.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/AREA.JK.csv,63,63,63,63,63,63,
ARGO.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ARGO.JK.csv,28,28,28,28,28,28,
ARII.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ARII.JK.csv,113,113,113,113,113,113,
ARKO.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ARKO.JK.csv,16,16,16,16,16,16,
ARNA.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ARNA.JK.csv,79,79,79,79,79,79,
ARTA.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ARTA.JK.csv,96,96,96,96,96,96,
ARTO.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ARTO.JK.csv,11,11,11,11,11,11,
ASBI.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ASBI.JK.csv,89,89,89,89,89,89,
ASDM.JK,OK,121,121,0,0,0,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,,emiten/cache_1m/ASDM.JK.csv,114,114,114,114,114,114,
