ticker,status,rows_base,rows_fresh,rows_out,min_out,max_out,error,merge_start,last_dt_before
APLI.JK,OK,121,13,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
APLN.JK,OK,121,64,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
ARCI.JK,OK,121,114,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
AREA.JK,OK,121,58,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
ARGO.JK,OK,121,62,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
ARII.JK,OK,121,8,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
ARKO.JK,OK,121,95,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
ARNA.JK,OK,121,42,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
ARTA.JK,OK,121,25,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
ARTO.JK,OK,121,108,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
ASBI.JK,OK,121,32,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
ASDM.JK,OK,121,3,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
ASGR.JK,OK,121,50,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
ASII.JK,OK,121,119,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
ASJT.JK,OK,121,4,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
ASLC.JK,OK,121,119,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
ASLI.JK,EMPTY_YF,0,0,0,,,,,
ASPI.JK,OK,121,29,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
ASPR.JK,OK,121,57,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
ASRI.JK,OK,121,110,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
ASRM.JK,OK,121,1,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
ASSA.JK,OK,121,98,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
ATIC.JK,OK,121,15,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
ATLA.JK,OK,121,116,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
AUTO.JK,OK,121,108,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
AVIA.JK,OK,121,88,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
AWAN.JK,OK,121,23,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
AXIO.JK,OK,121,37,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
AYAM.JK,OK,121,63,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
AYLS.JK,OK,121,42,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
BABP.JK,OK,121,54,121,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00,,2025-08-19 13:50:00+07:00,2025-08-19 15:50:00+07:00
